"Principais características do Produtor Singular - Mulher (Baixo Mondego, página 3)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 9/24
,,,Baixo Mondego,Cantanhede,Coimbra,Condeixa-a-Nova,Figueira da Foz,Mira,Montemor-o-Velho,Penacova,Soure
,,,nº de indivíduos,,,,,,,,
Mulher,,,,,,,,,,,
Produtor singular,,,"4,495","1,281",319,208,730,327,970,155,505
,Autónomo,,"4,386","1,246",307,208,702,322,946,154,501
,Empresário,,109,35,12,- ,28,5,24,1,4
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,498,115,35,29,88,41,73,15,102
,Sabe ler e escrever,,"1,103",310,69,63,204,86,178,51,142
,Básico - 1º ciclo,,"2,280",660,169,102,352,156,531,81,229
,Básico - 2º ciclo,,445,149,16,7,64,36,148,6,19
,Básico - 3º ciclo,,88,16,17,3,13,2,29,1,7
,Secundário agrícola,,2,- ,- ,- ,1,1,- ,- ,- 
,Secundário não agrícola,,33,9,6,3,4,4,4,1,2
,Politécnico / Superior agrícola,,2,2,- ,- ,- ,- ,- ,- ,- 
,Politécnico / Superior não agrícola,,44,20,7,1,4,1,7,- ,4
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"4,090","1,162",299,198,613,323,849,153,493
,Curta duração,,234,73,6,8,76,1,64,- ,6
,Longa duração,,118,25,13,2,28,2,41,2,5
,Longa e curta duração,,49,19,1,- ,12,- ,16,- ,1
,Completa,,4,2,- ,- ,1,1,- ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,"2,905",825,220,195,317,205,562,136,445
,,> 0 - < 25%,495,189,59,33,65,12,67,18,52
,,25 - < 50%,606,171,48,58,66,31,110,36,86
,,50 - < 75%,644,195,54,48,79,25,89,33,121
,,75 - < 100%,"1,160",270,59,56,107,137,296,49,186
,Tempo completo,,"1,590",456,99,13,413,122,408,19,60
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,693,230,67,43,94,40,129,23,67
,,Sector primário,123,51,12,6,9,10,25,5,5
,,Sector secundário,176,59,21,8,27,8,29,5,19
,,Sector terciário,394,120,34,29,58,22,75,13,43
,Secúndária,,34,16,2,- ,4,9,3,- ,- 
,,Sector primário,15,7,1,- ,2,3,2,- ,- 
,,Sector secundário,2,2,- ,- ,- ,- ,- ,- ,- 
,,Sector terciário,17,7,1,- ,2,6,1,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,33,14,1,- ,4,2,3,4,5
,Trabalhador por conta própria,,111,38,12,3,12,9,15,6,16
,Trabalhador por conta de outrem,,559,177,56,39,81,38,111,13,44
,Trabalhador familiar remunerado,,1,- ,- ,1,- ,- ,- ,- ,- 
,Outra situação,,23,17,- ,- ,1,- ,3,- ,2
Produtor singular dirigente,,,"4,381","1,257",290,199,715,322,958,147,493
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
