"Mão-de-obra não familiar permanente segundo o tempo de actividade (Total e Baixo Vouga, página 1)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 1/8
,,,BEIRA LITORAL,Baixo Vouga,Águeda,Albergaria-a-Velha,Anadia,Aveiro,Estarreja
,,,nº de indivíduos,,,,,,
Tempo de actividade agrícola dos trabalhadores permanentes,,,"6,036","1,253",87,138,205,95,61
,Tempo parcial,,"3,244",751,61,92,125,80,53
,,> 0 - < 25%,"1,330",372,27,56,54,36,23
,,25 - < 50%,740,201,18,15,42,23,20
,,50 - < 75%,510,77,4,10,10,14,6
,,75 - < 100%,664,101,12,11,19,7,4
,Tempo completo,,"2,792",502,26,46,80,15,8
Homem,,,"3,167",557,46,57,117,35,20
,Tempo parcial,,"1,755",299,31,32,69,24,16
,,> 0 - < 25%,681,140,14,24,26,18,7
,,25 - < 50%,375,81,9,4,28,2,5
,,50 - < 75%,280,20,1,- ,5,1,2
,,75 - < 100%,419,58,7,4,10,3,2
,Tempo completo,,"1,412",258,15,25,48,11,4
Mulher,,,"2,869",696,41,81,88,60,41
,Tempo parcial,,"1,489",452,30,60,56,56,37
,,> 0 - < 25%,649,232,13,32,28,18,16
,,25 - < 50%,365,120,9,11,14,21,15
,,50 - < 75%,230,57,3,10,5,13,4
,,75 - < 100%,245,43,5,7,9,4,2
,Tempo completo,,"1,380",244,11,21,32,4,4
Tempo de actividade agrícola dos dirigentes assalariados,,,669,119,15,15,23,11,2
,Tempo parcial,,483,69,10,7,15,10,1
,,> 0 - < 25%,131,22,2,2,7,3,- 
,,25 - < 50%,88,15,4,1,5,2,- 
,,50 - < 75%,76,9,1,- ,1,- ,1
,,75 - < 100%,188,23,3,4,2,5,- 
,Tempo completo,,186,50,5,8,8,1,1
Homem,,,585,102,14,12,22,8,2
,Tempo parcial,,418,56,9,4,14,7,1
,,> 0 - < 25%,120,19,2,2,7,3,- 
,,25 - < 50%,76,11,3,- ,4,1,- 
,,50 - < 75%,66,9,1,- ,1,- ,1
,,75 - < 100%,156,17,3,2,2,3,- 
,Tempo completo,,167,46,5,8,8,1,1
Mulher,,,84,17,1,3,1,3,- 
,Tempo parcial,,65,13,1,3,1,3,- 
,,> 0 - < 25%,11,3,- ,- ,- ,- ,- 
,,25 - < 50%,12,4,1,1,1,1,- 
,,50 - < 75%,10,- ,- ,- ,- ,- ,- 
,,75 - < 100%,32,6,- ,2,- ,2,- 
,Tempo completo,,19,4,- ,- ,- ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,,"5,367","1,134",72,123,182,84,59
,Tempo parcial,,"2,761",682,51,85,110,70,52
,,> 0 - < 25%,"1,199",350,25,54,47,33,23
,,25 - < 50%,652,186,14,14,37,21,20
,,50 - < 75%,434,68,3,10,9,14,5
,,75 - < 100%,476,78,9,7,17,2,4
,Tempo completo,,"2,606",452,21,38,72,14,7
Homem,,,"2,582",455,32,45,95,27,18
,Tempo parcial,,"1,337",243,22,28,55,17,15
,,> 0 - < 25%,561,121,12,22,19,15,7
,,25 - < 50%,299,70,6,4,24,1,5
,,50 - < 75%,214,11,- ,- ,4,1,1
,,75 - < 100%,263,41,4,2,8,- ,2
,Tempo completo,,"1,245",212,10,17,40,10,3
Mulher,,,"2,785",679,40,78,87,57,41
,Tempo parcial,,"1,424",439,29,57,55,53,37
,,> 0 - < 25%,638,229,13,32,28,18,16
,,25 - < 50%,353,116,8,10,13,20,15
,,50 - < 75%,220,57,3,10,5,13,4
,,75 - < 100%,213,37,5,5,9,2,2
,Tempo completo,,"1,361",240,11,21,32,4,4
"Fonte: INE, Recemseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
