Explorações segundo a OTE e a dimensão económica (Pinhal Litoral),,,,,,,
,,,,,,,1999
,,,,,,,pág. 4/8
,,Pinhal Litoral,Batalha,Leiria,Marinha Grande,Pombal,Porto de Mós
,,expl (nº),,,,,
Classes de dimensão económica (UDE),,"12,271","1,059","4,717",204,"4,762","1,529"
,> 0 a < 2,"8,312",676,"3,251",152,"3,395",838
,2 a < 4,"2,220",207,750,38,933,292
,4 a < 8,798,86,276,8,253,175
,8 a < 16,458,53,184,2,101,118
,16 a < 40,307,24,142,2,55,84
,40 a < 100,120,7,77,- ,18,18
,> = 100,56,6,37,2,7,4
OTE,,"12,289","1,064","4,726",206,"4,763","1,530"
,Cereais e plantas olea./proteaginosas,350,7,185,17,139,2
,Culturas agrícolas diversas,499,50,217,22,187,23
,Horticultura,203,20,122,11,43,7
,Viticultura,879,229,525,4,59,62
,Fruticultura,449,57,162,12,25,193
,Olivicultura,184,19,35,- ,36,94
,Culturas permanentes diversas,680,117,301,2,118,142
,Bovinos de leite,197,16,30,1,31,119
,Bovinos para gado/carne,121,9,52,7,29,24
,Bovinos para leite/gado/carne,41,4,6,- ,2,29
,Ovinos/caprinos/outros herbívoros,584,48,135,10,177,214
,Granívoros,"1,097",49,493,25,456,74
,Policultura,"2,812",222,"1,181",34,"1,183",192
,Polipecuária-herbívoros,"1,335",60,344,15,795,121
,Polipecuária-granívoros,960,15,252,14,627,52
,Agricultura geral e herbívoros,351,36,125,6,179,5
,Culturas diversas e gado,"1,529",101,552,24,676,176
,Não classificadas,18,5,9,2,1,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
