"Origem do rendimento do agregado doméstico do produtor singular (Dão-Lafões, página 2)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 8/8
,,,Penalva do Castelo,Santa Comba Dão,São Pedro do Sul,Sátão,Tondela,Vila Nova de Paiva,Viseu,Vouzela
,,,expl. (nº),,,,,,,
Total explorações com produtor singular,,,"1,325",775,"1,694","1,603","3,397",754,"4,298","1,279"
Exclusivamente da actividade da exploração,,,174,41,137,189,260,167,366,128
Principalmente da actividade da exploração,,,458,151,772,416,643,144,874,211
,Salários do sector primário,,56,19,136,25,87,5,90,19
,,1ª opção,54,16,74,18,68,4,73,14
,,2ª opção,2,2,54,7,18,1,16,4
,,3ª opção,- ,1,8,- ,1,- ,1,1
,Salários do sector secúndário,,127,40,256,100,182,37,218,71
,,1ª opção,120,31,166,74,148,35,153,65
,,2ª opção,7,9,71,25,30,2,62,6
,,3ª opção,- ,- ,19,1,4,- ,3,- 
,Salários do sector terciário,,43,34,200,77,164,24,192,31
,,1ª opção,30,21,116,60,111,16,120,23
,,2ª opção,12,13,67,13,50,8,62,8
,,3ª opção,1,- ,17,4,3,- ,10,- 
,Actividade empresarial,,7,- ,11,18,7,9,9,1
,,1ª opção,7,- ,8,15,6,6,5,- 
,,2ª opção,- ,- ,3,3,1,3,4,1
,,3ª opção,- ,- ,- ,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,250,85,461,242,361,76,527,112
,,1ª opção,232,73,349,228,291,74,481,99
,,2ª opção,17,12,99,12,65,2,44,13
,,3ª opção,1,- ,13,2,5,- ,2,- 
,Juros e dividendos,,10,4,32,- ,6,4,82,- 
,,1ª opção,5,3,10,- ,5,2,9,- 
,,2ª opção,5,1,18,- ,1,2,67,- 
,,3ª opção,- ,- ,4,- ,- ,- ,6,- 
,Remessas de emigrantes,,5,5,76,12,5,1,24,3
,,1ª opção,4,3,37,9,3,1,15,3
,,2ª opção,1,2,31,3,2,- ,9,- 
,,3ª opção,- ,- ,8,- ,- ,- ,- ,- 
,Outras,,6,6,56,17,16,6,48,8
,,1ª opção,6,4,12,12,11,6,18,7
,,2ª opção,- ,2,32,5,5,- ,25,1
,,3ª opção,- ,- ,12,- ,- ,- ,5,- 
Principalmente origem exterior à actividade da exploração,,,693,583,785,998,"2,494",443,"3,058",940
,Salários do sector primário,,40,58,88,36,237,25,143,120
,,1ª opção,36,45,56,21,146,14,95,87
,,2ª opção,3,9,23,13,75,11,38,29
,,3ª opção,1,4,9,2,16,- ,10,4
,Salários do sector secúndário,,222,226,252,269,863,87,916,363
,,1ª opção,190,164,187,194,689,61,702,281
,,2ª opção,32,60,58,71,160,22,192,75
,,3ª opção,- ,2,7,4,14,4,22,7
,Salários do sector terciário,,144,193,249,283,749,104,"1,168",285
,,1ª opção,97,135,159,192,512,76,779,180
,,2ª opção,43,56,79,85,224,24,356,93
,,3ª opção,4,2,11,6,13,4,33,12
,Actividade empresarial,,33,11,28,108,87,52,134,16
,,1ª opção,27,9,18,82,77,38,99,14
,,2ª opção,5,2,8,20,9,14,31,2
,,3ª opção,1,- ,2,6,1,- ,4,- 
,Pensões rurais/reformas,,368,272,448,533,"1,311",265,"1,573",480
,,1ª opção,326,203,323,470,956,230,"1,261",355
,,2ª opção,36,58,103,54,303,27,277,106
,,3ª opção,6,11,22,9,52,8,35,19
,Juros e dividendos,,17,6,12,8,30,8,102,9
,,1ª opção,2,4,2,4,19,5,22,1
,,2ª opção,14,2,8,3,11,3,64,6
,,3ª opção,1,- ,2,1,- ,- ,16,2
,Remessas de emigrantes,,24,13,39,25,67,21,68,16
,,1ª opção,10,13,27,18,50,13,52,8
,,2ª opção,13,- ,11,7,15,8,15,7
,,3ª opção,1,- ,1,- ,2,- ,1,1
,Outras,,7,18,54,32,83,7,114,28
,,1ª opção,5,10,13,17,45,6,48,14
,,2ª opção,2,8,35,13,27,1,48,10
,,3ª opção,- ,- ,6,2,11,- ,18,4
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
