"Características da habitação do produtor singular (Total de Explorações, Idade de habitação < 30 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 1/6,
Região Agrícola,,,Total de explorações,,,,,
Nut III,,,Total  ,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação < 30 anos,,,,,
,,,expl. (nº),,,,,
BEIRA LITORAL,,,"35,843","35,774","35,560","35,428","35,715",
,Baixo Vouga,,"7,075","7,066","7,047","7,016","7,052",
,,Águeda,980,979,976,976,978,
,,Albergaria-a-Velha,407,404,402,398,404,
,,Anadia,"1,336","1,336","1,332","1,330","1,333",
,,Aveiro,481,478,478,472,476,
,,Estarreja,460,459,458,453,459,
,,Ílhavo,108,108,108,108,108,
,,Mealhada,779,779,779,778,778,
,,Murtosa,163,163,162,159,163,
,,Oliveira do Bairro,789,789,788,782,786,
,,Ovar,190,190,188,187,190,
,,Sever do Vouga,324,324,321,319,323,
,,Vagos,"1,058","1,057","1,055","1,054","1,054",
,Baixo Mondego,,"7,978","7,971","7,938","7,875","7,966",
,,Cantanhede,"2,296","2,294","2,278","2,277","2,291",
,,Coimbra,"1,308","1,308","1,304","1,268","1,308",
,,Condeixa-a-Nova,552,551,550,544,551,
,,Figueira da Foz,872,872,869,868,872,
,,Mira,410,410,410,410,410,
,,Montemor-o-Velho,"1,224","1,222","1,217","1,215","1,220",
,,Penacova,354,353,352,354,353,
,,Soure,962,961,958,939,961,
,Pinhal Litoral,,"4,541","4,535","4,530","4,517","4,527",
,,Batalha,329,329,328,328,329,
,,Leiria,"1,730","1,728","1,726","1,725","1,727",
,,Marinha Grande,82,82,82,82,82,
,,Pombal,"1,884","1,883","1,880","1,869","1,878",
,,Porto de Mós,516,513,514,513,511,
,Pinhal Interior Norte,,"4,542","4,535","4,517","4,482","4,527",
,,Alvaiázere,415,415,414,413,414,
,,Ansião,709,709,706,704,709,
,,Arganil,341,341,341,341,341,
,,Castanheira de Pêra,24,24,24,24,24,
,,Figueiró dos Vinhos,240,240,240,239,240,
,,Góis,154,152,149,149,150,
,,Lousã,139,139,139,139,138,
,,Miranda do Corvo,555,555,555,552,555,
,,Oliveira do Hospital,592,590,585,569,590,
,,Pampilhosa da Serra,150,150,150,150,150,
,,Pedrógão Grande,181,181,180,180,181,
,,Penela,432,432,428,420,431,
,,Tábua,476,473,472,468,470,
,,Vila Nova de Poiares,134,134,134,134,134,
,Dão-Lafões,,"11,707","11,667","11,528","11,538","11,643",
,,Aguiar da Beira,694,693,691,670,690,
,,Carregal do Sal,425,424,424,424,424,
,,Castro Daire,"1,115","1,111","1,097","1,093","1,110",
,,Mangualde,817,814,805,808,813,
,,Mortágua,437,437,437,437,437,
,,Nelas,487,487,487,486,487,
,,Oliveira de Frades,449,449,442,439,448,
,,Penalva do Castelo,564,563,557,558,562,
,,Santa Comba Dão,393,391,391,391,391,
,,São Pedro do Sul,627,625,618,619,624,
,,Sátão,884,882,876,877,877,
,,Tondela,"1,549","1,542","1,513","1,525","1,540",
,,Vila Nova de Paiva,513,507,501,484,501,
,,Viseu,"2,227","2,217","2,180","2,209","2,216",
,,Vouzela,526,525,509,518,523,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
