Explorações segundo as práticas agrícolas e actividades lucrativas não agrícolas,,,,,,,,,,
,,,,,,,,,,1999
Região Agrícola,,,Agricultura biológica,,Protecção integrada,,Tratamento de Resíduos,,Actividades lucrativas não agrícolas da exploração,
Nut III,,,expl.,SAU,expl.,SAU,expl.,SAU,expl.,SAU
Concelho,,,(nº),(ha),(nº),(ha),(nº),(ha),(nº),(ha)
BEIRA LITORAL,,,53,277,223,"2,060","7,608","24,591","5,052","13,974"
,Baixo Vouga,,5,3,33,272,"2,854","9,011","1,629","3,356"
,,Águeda,1,... ,- ,- ,202,463,410,541
,,Albergaria-a-Velha,- ,- ,- ,- ,139,509,14,76
,,Anadia,1,... ,19,226,178,340,512,"1,138"
,,Aveiro,1,... ,1,... ,312,783,18,112
,,Estarreja,- ,- ,1,... ,476,"1,994",7,70
,,Ílhavo,- ,- ,- ,- ,91,292,11,175
,,Mealhada,1,... ,9,36,202,438,242,425
,,Murtosa,- ,- ,- ,- ,190,"1,171",1,... 
,,Oliveira do Bairro,- ,- ,1,... ,57,232,369,714
,,Ovar,1,... ,1,... ,294,"1,337",7,20
,,Sever do Vouga,- ,- ,- ,- ,129,188,29,43
,,Vagos,- ,- ,1,... ,584,"1,264",9,29
,Baixo Mondego,,22,155,29,193,"3,121","9,750","1,150","4,044"
,,Cantanhede,2,... ,13,50,"1,213","2,901",629,"1,295"
,,Coimbra,9,100,5,55,542,"1,483",194,721
,,Condeixa-a-Nova,- ,- ,- ,- ,14,72,86,401
,,Figueira da Foz,4,19,2,... ,412,"1,353",13,210
,,Mira,2,... ,9,47,68,486,19,40
,,Montemor-o-Velho,3,4,- ,- ,810,"3,077",27,376
,,Penacova,- ,- ,- ,- ,4,6,7,13
,,Soure,2,... ,- ,- ,58,372,175,988
,Pinhal Litoral,,7,18,40,332,"1,275","4,255",141,752
,,Batalha,1,... ,1,... ,112,353,22,99
,,Leiria,1,... ,11,131,486,"1,119",38,200
,,Marinha Grande,- ,- ,- ,- ,22,64,- ,- 
,,Pombal,2,... ,1,... ,413,939,52,309
,,Porto de Mós,3,5,27,195,242,"1,780",29,144
,Pinhal Interior Norte,,7,46,5,35,72,448,"1,090","2,870"
,,Alvaiázere,- ,- ,- ,- ,8,46,45,96
,,Ansião,- ,- ,- ,- ,14,32,120,304
,,Arganil,3,20,3,20,7,117,70,254
,,Castanheira de Pêra,- ,- ,- ,- ,- ,- ,3,1
,,Figueiró dos Vinhos,- ,- ,- ,- ,2,... ,7,14
,,Góis,- ,- ,- ,- ,4,37,42,164
,,Lousã,- ,- ,- ,- ,3,8,18,60
,,Miranda do Corvo,- ,- ,- ,- ,11,28,143,219
,,Oliveira do Hospital,3,18,2,... ,17,145,64,359
,,Pampilhosa da Serra,- ,- ,- ,- ,1,... ,43,69
,,Pedrógão Grande,- ,- ,- ,- ,- ,- ,6,14
,,Penela,- ,- ,- ,- ,1,... ,257,662
,,Tábua,1,... ,- ,- ,3,29,74,321
,,Vila Nova de Poiares,- ,- ,- ,- ,1,... ,198,333
,Dão-Lafões,,12,55,116,"1,228",286,"1,127","1,042","2,952"
,,Aguiar da Beira,1,... ,10,97,3,81,26,190
,,Carregal do Sal,- ,- ,3,10,1,... ,- ,- 
,,Castro Daire,1,... ,- ,- ,6,14,17,36
,,Mangualde,3,12,13,167,7,28,18,172
,,Mortágua,- ,- ,1,... ,28,117,148,291
,,Nelas,- ,- ,20,246,2,... ,4,76
,,Oliveira de Frades,- ,- ,- ,- ,57,61,2,... 
,,Penalva do Castelo,- ,- ,10,128,2,... ,10,95
,,Santa Comba Dão,1,... ,2,... ,26,76,39,101
,,São Pedro do Sul,2,... ,5,85,62,124,196,473
,,Sátão,- ,- ,- ,- ,1,... ,1,... 
,,Tondela,1,... ,16,101,30,168,18,60
,,Vila Nova de Paiva,- ,- ,- ,- ,10,36,5,8
,,Viseu,3,17,35,351,24,115,538,"1,337"
,,Vouzela,- ,- ,1,... ,27,69,20,99
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
