Natureza jurídica do produtor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág. 1/2
Região Agrária,,,Produtor Singular,,,,Sociedade,,Baldio,,Estado e pessoas públicas,,Outra,
,Nut III,,Autónomo,,Empresário,,,,,,,,,
,,Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
Trás os Montes,,,"65,271","378,412","3,837","43,049",661,"14,265",108,"20,429",37,842,92,907
,Douro,,"27,673","93,292","3,366","29,990",562,"10,568",47,"4,727",19,263,54,271
,,Alijó,"2,293","5,268",585,"2,675",31,"1,088",3,152,1,... ,9,34
,,Armamar,"1,157","2,770",100,"1,321",15,332,- ,- ,1,... ,7,59
,,Carrazeda de Ansiães,"1,753","5,982",142,"1,626",14,337,- ,- ,- ,- ,- ,- 
,,Freixo de Espada à Cinta,819,"4,931",118,"2,862",18,332,- ,- ,2,... ,- ,- 
,,Lamego,"1,810","3,418",238,"1,583",31,405,3,649,5,81,7,23
,,Mesão Frio,479,560,114,534,11,157,- ,- ,1,... ,2,... 
,,Moimenta da Beira,"1,278","4,815",18,416,5,345,- ,- ,- ,- ,1,... 
,,Penedono,688,"3,283",29,533,1,... ,- ,- ,1,... ,- ,- 
,,Peso da Régua,"1,203","1,798",242,"1,529",70,801,- ,- ,2,... ,3,20
,,Sabrosa,"1,184","2,123",199,"1,223",53,843,7,539,- ,- ,2,... 
,,Santa Marta de Penaguião,"1,030","1,320",437,"1,894",18,147,4,314,1,... ,3,32
,,São João da Pesqueira,"1,723","6,431",427,"3,936",66,"2,239",- ,- ,1,... ,4,8
,,Sernancelhe,"1,143","4,519",10,395,1,... ,- ,- ,- ,- ,2,... 
,,Tabuaço,"1,256","3,328",31,449,17,737,- ,- ,1,... ,1,... 
,,Tarouca,894,"1,923",27,182,4,63,- ,- ,- ,- ,1,... 
,,Torre de Moncorvo,"2,077","15,047",97,"1,897",16,217,- ,- ,1,... ,2,... 
,,Vila Flor,"1,755","7,987",86,"1,833",54,657,- ,- ,1,... ,- ,- 
,,Vila Nova de Foz Côa,"2,025","10,829",296,"4,285",115,"1,589",- ,- ,- ,- ,3,14
,,Vila Real,"3,106","6,960",170,817,22,202,30,"3,073",1,... ,7,23
,Alto Trás os Montes ,,"37,598","285,120",471,"13,059",99,"3,697",61,"15,702",18,579,38,636
,,Alfândega da Fé,"1,311","10,013",55,"2,003",8,308,- ,- ,- ,- ,3,167
,,Boticas,"1,305","7,683",19,329,- ,- ,15,"3,019",- ,- ,- ,- 
,,Bragança,"4,030","42,315",19,932,13,640,2,... ,4,172,3,19
,,Chaves,"5,410","25,407",56,769,2,... ,- ,- ,3,39,5,28
,,Macedo de Cavaleiros,"3,162","23,391",12,419,1,... ,- ,- ,2,... ,10,127
,,Miranda do Douro,"1,703","20,837",13,503,2,... ,- ,- ,- ,- ,4,50
,,Mirandela,"3,644","23,425",80,"2,535",44,"1,658",- ,- ,4,137,9,200
,,Mogadouro,"2,617","34,110",68,"2,434",6,418,3,51,1,... ,1,... 
,,Montalegre,"2,412","21,749",22,586,4,88,38,"11,929",1,... ,1,... 
,,Murça,"1,396","4,587",28,235,4,62,- ,- ,2,... ,- ,- 
,,Valpaços,"4,764","24,698",70,"1,276",5,212,- ,- ,1,... ,1,... 
,,Vila Pouca de Aguiar,"1,898","10,040",15,427,8,120,3,597,- ,- ,- ,- 
,,Vimioso,"1,404","14,134",13,597,1,... ,- ,- ,- ,- ,- ,- 
,,Vinhais,"2,542","22,731",1,... ,1,... ,- ,- ,- ,- ,1,... 
"Fonte:  INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,
