Explorações com rega e drenagem (Página 1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,pág. 1/3
,,,,TRÁS OS MONTES,Douro,Alijó,Armamar,Carrazeda de Ansiães,Freixo de Espada à Cinta,Lamego,Mesão Frio,Moimenta da  Beira,Penedono,Peso da Régua,Sabrosa
Superfície irrigável,,,expl (nº),"41,179","13,931","1,361",625,653,623,756,19,"1,227",497,167,402
,,,área (ha),"93,103","24,219","1,277","1,202",919,"2,257","1,597",17,"2,908","1,008",102,462
Sistema de rega ,,,,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),"2,745","1,283",8,117,23,51,118,1,188,33,1,1
,Colectivo privado,,expl (nº),"11,254","2,993",236,182,11,139,252,5,260,103,19,47
,Individual,,expl (nº),"35,059","12,056","1,304",449,625,493,593,13,"1,122",396,151,365
Origem das águas de rega,,,,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"35,429","12,165","1,270",500,587,486,675,16,"1,150",402,107,351
,Albufeira (barragem),,expl (nº),989,313,4,8,11,3,3,- ,5,64,- ,- 
,Açude,,expl (nº),"1,624",536,11,39,2,1,33,- ,41,13,1,2
,Charca,,expl (nº),"2,328",794,51,39,63,2,4,1,206,22,15,4
,Curso de água natural,,expl (nº),"11,958","3,431",340,160,98,234,130,5,140,47,66,87
,Outra,,expl (nº),452,126,15,4,3,4,1,- ,6,4,- ,- 
Método de colocação de água no terreno,,,,,,,,,,,,,,,
,Sem elevação,,expl (nº),"23,452","7,374",853,430,160,162,415,15,495,239,107,289
,Com elevação,,expl (nº),"28,699","9,838",957,401,586,500,476,6,"1,089",325,73,214
,,Motor electrico,expl (nº),"4,940","2,681",102,187,93,169,422,3,355,20,53,76
,,Motor a carburante,expl (nº),"24,723","7,724",856,249,527,361,99,2,961,305,22,142
,,Outros meios,expl (nº),507,161,14,2,2,9,2,1,11,2,3,1
Superfície drenada,,,expl (nº),884,159,50,2,4,3,8,3,- ,3,11,1
,,,área (ha),"1,020",305,83,... ,101,1,3,10,- ,15,11,... 
Superfície com encharcamento,,,expl (nº),"1,321",196,55,- ,15,38,1,1,1,- ,31,1
,,,área (ha),"1,028",90,25,- ,3,35,... ,... ,... ,- ,9,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,,
