Explorações segundo o número de bovinos (Classes do número de animais 1 a 29),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 1/2
Região Agrária,,,,Total,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,,1,2,3 a 4,5 a 9,10 a 14,15 a 19,20 a 29
Trás os Montes ,,,expl (nº),"10,634","1,530","1,841","2,453","2,552",925,463,455
,,,efect (nº),"79,340","1,530","3,682","8,485","16,595","10,782","7,701","10,840"
,Douro,,expl (nº),"2,750",712,663,657,439,121,56,48
,,,efect (nº),"13,393",712,"1,326","2,270","2,752","1,385",923,"1,105"
,,Alijó,expl (nº),148,42,52,33,15,4,1,1
,,,efect (nº),433,42,104,111,87,51,... ,... 
,,Armamar,expl (nº),26,22,4,- ,- ,- ,- ,- 
,,,efect (nº),30,22,8,- ,- ,- ,- ,- 
,,Carrazeda de Ansiães,expl (nº),68,24,13,11,11,5,2,2
,,,efect (nº),301,24,26,38,77,60,... ,... 
,,Freixo de Espada à Cinta,expl (nº),15,1,4,5,3,- ,1,1
,,,efect (nº),87,... ,8,17,23,- ,... ,... 
,,Lamego,expl (nº),110,35,26,28,12,5,2,1
,,,efect (nº),458,35,52,95,81,59,... ,... 
,,Mesão Frio,expl (nº),- ,- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- ,- 
,,Moimenta da Beira,expl (nº),481,122,99,91,63,27,26,26
,,,efect (nº),"3,795",122,198,307,382,301,429,613
,,Penedono,expl (nº),87,21,23,19,14,6,2,- 
,,,efect (nº),394,21,46,64,93,68,... ,- 
,,Peso da Régua,expl (nº),12,4,4,3,1,- ,- ,- 
,,,efect (nº),28,4,8,9,... ,- ,- ,- 
,,Sabrosa,expl (nº),120,47,37,19,14,1,- ,1
,,,efect (nº),398,47,74,65,87,... ,- ,... 
,,Santa Marta de Penaguião,expl (nº),12,8,3,- ,1,- ,- ,- 
,,,efect (nº),21,8,6,- ,... ,- ,- ,- 
,,São João da Pesqueira,expl (nº),22,7,6,3,5,- ,- ,- 
,,,efect (nº),102,7,12,10,36,- ,- ,- 
,,Sernancelhe,expl (nº),241,68,69,57,34,7,4,1
,,,efect (nº),820,68,138,196,205,85,64,... 
,,Tabuaço,expl (nº),21,11,3,3,- ,1,- ,1
,,,efect (nº),160,11,6,12,- ,... ,- ,... 
,,Tarouca,expl (nº),184,57,42,42,27,8,3,- 
,,,efect (nº),930,57,84,144,183,92,49,- 
,,Torre de Moncorvo,expl (nº),12,5,2,4,1,- ,- ,- 
,,,efect (nº),27,5,... ,13,... ,- ,- ,- 
,,Vila Flor,expl (nº),31,8,5,6,7,3,- ,1
,,,efect (nº),197,8,10,18,40,31,- ,... 
,,Vila Nova de Foz Côa,expl (nº),11,3,5,- ,2,- ,1,- 
,,,efect (nº),41,3,10,- ,... ,- ,... ,- 
,,Vila Real,expl (nº),"1,149",227,266,333,229,54,14,13
,,,efect (nº),"5,171",227,532,"1,171","1,429",613,228,294
,Alto Trás os Montes ,,expl (nº),"7,884",818,"1,178","1,796","2,113",804,407,407
,,,efect (nº),"65,947",818,"2,356","6,215","13,843","9,397","6,778","9,735"
,,Alfândega da Fé,expl (nº),51,6,11,16,5,3,2,2
,,,efect (nº),481,6,22,54,26,35,... ,... 
,,Boticas,expl (nº),521,28,67,104,176,68,44,29
,,,efect (nº),"4,130",28,134,365,"1,202",809,740,653
,,Bragança,expl (nº),822,54,102,218,260,83,39,41
,,,efect (nº),"6,432",54,204,753,"1,693",940,641,983
,,Chaves,expl (nº),973,207,211,246,177,59,20,23
,,,efect (nº),"5,837",207,422,820,"1,111",691,322,551
,,Macedo de Cavaleiros,expl (nº),399,65,95,87,80,29,11,14
,,,efect (nº),"2,659",65,190,300,517,333,180,311
,,Miranda do Douro,expl (nº),502,18,35,89,175,80,29,39
,,,efect (nº),"5,699",18,70,310,"1,163",927,475,921
,,Mirandela,expl (nº),159,33,47,41,21,7,5,2
,,,efect (nº),726,33,94,141,130,84,79,... 
,,Mogadouro,expl (nº),604,35,48,81,131,80,50,72
,,,efect (nº),"9,774",35,96,283,851,953,838,"1,752"
,,Montalegre,expl (nº),"1,305",51,100,217,431,208,114,112
,,,efect (nº),"14,159",51,200,771,"2,914","2,471","1,893","2,691"
,,Murça,expl (nº),194,70,58,42,16,4,2,2
,,,efect (nº),562,70,116,142,100,47,... ,... 
,,Valpaços,expl (nº),618,90,158,209,117,20,9,7
,,,efect (nº),"2,716",90,316,715,720,225,153,168
,,Vila Pouca de Aguiar,expl (nº),891,95,150,234,238,76,43,28
,,,efect (nº),"6,337",95,300,817,"1,564",876,712,681
,,Vimioso,expl (nº),226,11,19,41,73,25,22,20
,,,efect (nº),"2,526",11,38,143,477,287,376,506
,,Vinhais,expl (nº),619,55,77,171,213,62,17,16
,,,efect (nº),"3,909",55,154,601,"1,375",719,294,373
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
,,,,,,,,,,,
