Máquinas e equipamentos (Página 2),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/4
,,,,Penedono,Peso da Régua,Sabrosa,Santa Marta de Penaguião,São João da Pesqueira,Sernancelhe,Tabuaço,Tarouca,Torre de Moncorvo
Explorações que utilizam tractores,,,expl (nº),659,367,441,477,987,"1,083",487,775,"1,536"
Máquinas pertencentes à exploração,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),175,133,171,99,290,364,158,230,301
,,,máq (nº),194,163,213,123,382,389,189,258,366
,,De menos de 20 c.v.,expl (nº),3,14,15,19,19,12,14,25,11
,,,máq (nº),3,14,15,19,19,12,14,25,11
,,De 20 a menos de 34 c.v.,expl (nº),24,20,36,21,44,73,37,68,44
,,,máq (nº),24,20,38,21,45,75,39,69,45
,,De 34 a menos de 55 c.v.,expl (nº),120,65,92,35,150,231,87,115,177
,,,máq (nº),132,73,103,38,173,237,100,122,191
,,De 55 a menos de 82 c.v.,expl (nº),33,41,47,29,105,60,28,33,87
,,,máq (nº),35,53,54,40,128,62,35,37,109
,,De 82 a menos de 109 c.v,expl (nº),- ,2,3,2,6,3,- ,4,8
,,,máq (nº),- ,... ,3,... ,13,3,- ,5,9
,,De 109 c.v. e mais,expl (nº),- ,1,- ,2,4,- ,1,- ,1
,,,máq (nº),- ,... ,- ,... ,4,- ,... ,- ,... 
,Motocultivadores,,expl (nº),10,34,81,26,95,30,64,39,71
,,,máq (nº),10,34,86,29,100,34,65,41,71
,Motoenxadas (motofresas),,expl (nº),3,13,5,4,14,2,12,8,7
,,,máq (nº),3,14,5,4,19,... ,13,8,7
,Motoceifeiras (motogadanheiras),,expl (nº),16,1,6,4,2,41,4,15,3
,,,máq (nº),16,... ,6,4,... ,44,5,15,3
,Electrobomba/motobomba,,expl (nº),25,103,207,35,68,961,278,369,219
,,,máq (nº),37,128,237,62,95,"1,573",339,671,325
,Distribuidores de adubos e correctivos,,expl (nº),14,17,14,7,41,9,17,20,22
,,,máq (nº),14,18,14,7,51,10,18,21,26
,Semeadores,,expl (nº),8,1,2,1,- ,16,5,9,5
,,,máq (nº),8,... ,... ,... ,- ,16,5,9,5
,Plantadores/transplantadores,,expl (nº),2,- ,- ,- ,1,2,3,3,3
,,,máq (nº),... ,- ,- ,- ,... ,... ,3,3,3
,Pulverizadores e polvilhadores,,expl (nº),40,66,78,119,159,103,60,143,62
,,,máq (nº),47,91,114,134,222,119,86,169,90
,Gadanheiras,,expl (nº),24,- ,8,- ,4,51,3,41,27
,,,máq (nº),27,- ,8,- ,4,53,3,44,28
,Colhedores de forragem,,expl (nº),2,- ,1,- ,- ,2,1,10,- 
,,,máq (nº),... ,- ,... ,- ,- ,... ,... ,13,- 
,Enfardadeiras,,expl (nº),16,- ,5,- ,5,17,1,11,17
,,,máq (nº),18,- ,5,- ,6,17,... ,12,17
,Ceifeiras-debulhadoras,,expl (nº),2,- ,- ,- ,4,2,- ,- ,1
,,,máq (nº),... ,- ,- ,- ,4,... ,- ,- ,... 
,Secadores de cereais,,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,máq (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,Viradores de feno,,expl (nº),20,- ,2,- ,1,15,1,7,7
,,,máq (nº),21,- ,... ,- ,... ,16,... ,7,7
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
