Principais características do produtor singular - Mulher (Página 4),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 12/12
,,,Miranda do Douro,Mirandela,Mogadouro,Montalegre,Murça,Valpaços,Vila Pouca de Aguiar,Vimioso,Vinhais
,,,nº de indivíduos,,,,,,,,
Mulher,,,,,,,,,,,
Produtor singular,,,332,742,512,758,297,901,499,272,559
,Autónomo,,329,725,486,750,293,884,497,268,559
,Empresário,,3,17,26,8,4,17,2,4,- 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,73,165,99,253,40,247,103,72,133
,Sabe ler e escrever,,95,161,117,151,70,234,164,67,122
,Básico - 1º ciclo,,117,255,194,271,116,319,191,94,214
,Básico - 2º ciclo,,25,60,46,61,24,44,33,20,69
,Básico - 3º ciclo,,9,28,18,11,16,18,5,6,5
,Secundário agrícola,,1,1,1,1,- ,- ,- ,- ,- 
,Secundário não agrícola,,3,11,8,5,7,10,3,4,7
,Politécnico / Superior agrícola,,2,5,1,1,1,4,- ,- ,- 
,Politécnico / Superior não agrícola,,7,56,28,4,23,25,- ,9,9
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,308,709,452,707,283,877,484,252,531
,Curta duração,,15,4,32,3,7,2,2,7,21
,Longa duração,,5,19,16,28,4,12,8,8,7
,Longa e curta duração,,1,4,10,18,2,6,5,5,- 
,Completa,,3,6,2,2,1,4,- ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,329,741,511,627,297,890,384,272,558
,,> 0 - < 25%,144,392,215,51,158,234,99,124,239
,,25 - < 50%,100,208,150,77,93,264,80,71,189
,,50 - < 75%,43,92,109,191,32,225,53,56,83
,,75 - < 100%,42,49,37,308,14,167,152,21,47
,Tempo completo,,3,1,1,131,- ,11,115,- ,1
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,43,141,92,41,57,79,30,36,33
,,Sector primário,5,21,20,1,8,7,3,2,2
,,Sector secundário,7,18,6,6,17,4,10,5,1
,,Sector terciário,31,102,66,34,32,68,17,29,30
,Secúndária,,5,9,4,11,5,12,3,2,3
,,Sector primário,2,9,3,3,4,7,1,- ,2
,,Sector secundário,2,- ,- ,- ,- ,- ,- ,- ,- 
,,Sector terciário,1,- ,1,8,1,5,2,2,1
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,2,13,1,4,8,9,2,3,3
,Trabalhador por conta própria,,13,11,20,24,- ,13,10,12,7
,Trabalhador por conta de outrem,,33,126,75,24,54,67,21,23,25
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,- ,- ,- ,- ,- ,2,- ,- ,1
Produtor singular dirigente,,,320,674,492,709,255,861,455,263,515
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
