Utilização das terras (Baixo Alentejo - Ajustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 4/5
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Superfície Total,,expl (nº),   369 ,   772 ,   680 ,  1 008 ,   537 ,   232 ,   314 ,   321 ,  9 846 ,   486 
,,área (ha),  28 120 ,  48 086 ,  30 021 ,  40 543 ,  24 979 ,  19 314 ,  36 124 ,  14 779 ,  673 365 ,  41 789 
Superfície Agrícola Utilizada (SAU),,expl (nº),   362 ,   745 ,   626 ,  1 002 ,   511 ,   231 ,   306 ,   305 ,  9 467 ,   447 
,,área (ha),  27 484 ,  38 834 ,  27 326 ,  38 164 ,  24 056 ,  17 552 ,  34 181 ,  13 121 ,  612 540 ,  39 142 
Terra arável,,expl (nº),   239 ,   300 ,   349 ,   668 ,   348 ,   193 ,   237 ,   167 ,  6 998 ,   432 
,,área (ha),  12 023 ,  10 017 ,  11 616 ,  24 034 ,  13 615 ,  4 142 ,  12 921 ,  7 897 ,  362 383 ,  36 458 
Terra arável limpa,,expl (nº),   235 ,   295 ,   333 ,   647 ,   345 ,   191 ,   227 ,   160 ,  6 698 ,   429 
,,área (ha),  11 358 ,  8 797 ,  7 165 ,  16 020 ,  11 691 ,  3 299 ,  9 019 ,  6 730 ,  302 124 ,  34 209 
,Culturas temporárias,expl (nº),   166 ,   204 ,   233 ,   440 ,   266 ,   128 ,   174 ,   100 ,  5 109 ,   403 
,,área (ha),  5 904 ,  7 127 ,  5 025 ,  8 751 ,  7 484 ,  2 228 ,  6 480 ,  2 855 ,  197 223 ,  22 913 
,Pousio (com e sem ajuda),expl (nº),   173 ,   83 ,   161 ,   423 ,   188 ,   16 ,   76 ,   111 ,  3 586 ,   240 
,,área (ha),  5 452 ,  1 650 ,  2 132 ,  7 258 ,  4 201 ,  1 039 ,  2 512 ,  3 857 ,  104 726 ,  11 294 
,Horta familiar,expl (nº),   14 ,   134 ,   119 ,   86 ,   39 ,   119 ,   117 ,   58 ,  1 551 ,   9 
