Principais culturas temporárias (Alentejo Central),,,,,,,,,,,
,,,,,,,,,,,Pág 6/13
REGIÃO AGRÁRIA,,Total,,Cultura principal,,Cultura secundária,,,,,
Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,Expl,Área,Expl,Área,Expl,Área,Expl,Área,Expl,Área
,Nisa,,,,,,,,,,
,Culturas temporárias,   513 ,  4 591 ,   330 ,  3 855 ,   337 ,   734 ,   26 ,   122 ,   323 ,   614 
,Cereais para grão,   35 ,   548 ,   31 ,   530 ,   6 ,   21 ,- ,- ,   6 ,   21 
,Leguminosas secas para grão,   33 ,   7 ,   15 ,   5 ,   18 ,   2 ,- ,- ,   18 ,   2 
,Prados temporários,   5 ,   123 ,   4 ,   108 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,   473 ,  3 893 ,   295 ,  3 202 ,   316 ,   693 ,   26 ,   122 ,   301 ,   571 
,Batata,   24 ,   6 ,   17 ,   3 ,   7 ,   3 ,- ,- ,   7 ,   3 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   31 ,   15 ,   24 ,   9 ,   10 ,   3 ,- ,- ,   10 ,   3 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Ponte Sôr,,,,,,,,,,
,Culturas temporárias,  1 466 ,  11 462 ,  1 296 ,  10 803 ,   510 ,   660 ,   23 ,   37 ,   492 ,   623 
,Cereais para grão,   456 ,  4 113 ,   356 ,  3 984 ,   133 ,   126 ,   6 ,   7 ,   128 ,   120 
,Leguminosas secas para grão,   127 ,   728 ,   103 ,   684 ,   24 ,   46 ,- ,- ,   24 ,   46 
,Prados temporários,   27 ,   250 ,   23 ,   246 ,   4 ,   4 ,- ,- ,   4 ,   4 
,Culturas forrageiras,   575 ,  5 387 ,   428 ,  4 977 ,   243 ,   409 ,   17 ,   30 ,   228 ,   379 
,Batata,   82 ,   28 ,   60 ,   23 ,   22 ,   6 ,   1 ,... ,   21 ,   6 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   12 ,   365 ,   12 ,   365 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,  1 027 ,   586 ,   915 ,   518 ,   203 ,   68 ,   1 ,... ,   202 ,   68 
,Flores e plantas ornamentais,   7 ,o ,   7 ,o ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,   5 ,   4 ,   5 ,   4 ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   4 ,o ,   4 ,o ,- ,- ,- ,- ,- ,- 
,Portalegre,,,,,,,,,,
,Culturas temporárias,   842 ,  5 357 ,   543 ,  4 211 ,   503 ,  1 146 ,   47 ,   103 ,   488 ,  1 042 
,Cereais para grão,   83 ,  1 076 ,   58 ,  1 031 ,   32 ,   45 ,- ,- ,   32 ,   45 
,Leguminosas secas para grão,   3 ,   2 ,- ,- ,   3 ,   2 ,- ,- ,   3 ,   2 
,Prados temporários,   1 ,... ,- ,- ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   594 ,  3 986 ,   355 ,  2 977 ,   385 ,  1 010 ,   41 ,   99 ,   370 ,   913 
,Batata,   116 ,   68 ,   76 ,   49 ,   42 ,   19 ,   5 ,   3 ,   37 ,   16 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   336 ,   195 ,   212 ,   127 ,   137 ,   71 ,   2 ,... ,   135 ,   70 
,Flores e plantas ornamentais,   4 ,   1 ,   4 ,   1 ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Alentejo Central,,,,,,,,,,,
Culturas temporárias,,  4 952 ,  154 366 ,  4 398 ,  150 239 ,  1 365 ,  4 131 ,   84 ,   290 ,  1 310 ,  3 839 
Cereais para grão,,  2 544 ,  80 105 ,  2 464 ,  79 167 ,   237 ,   941 ,   4 ,   35 ,   233 ,   906 
Leguminosas secas para grão,,   180 ,  1 628 ,   144 ,  1 545 ,   46 ,   85 ,   2 ,... ,   44 ,   83 
Prados temporários,,   265 ,  4 672 ,   200 ,  4 525 ,   87 ,   146 ,- ,- ,   87 ,   146 
Culturas forrageiras,,  2 753 ,  48 972 ,  2 254 ,  46 195 ,   890 ,  2 778 ,   67 ,   242 ,   842 ,  2 537 
Batata,,   65 ,   26 ,   49 ,   17 ,   19 ,   9 ,   5 ,   4 ,   14 ,   6 
Beterraba sacarina,,   43 ,  1 088 ,   43 ,  1 088 ,- ,- ,- ,- ,- ,- 
Culturas indústriais,,   604 ,  16 516 ,   593 ,  16 475 ,   18 ,   43 ,   1 ,... ,   17 ,   39 
Culturas hortícolas,,   769 ,  1 321 ,   637 ,  1 202 ,   227 ,   130 ,   9 ,   3 ,   220 ,   125 
Flores e plantas ornamentais,,   10 ,   7 ,   9 ,   7 ,   1 ,... ,- ,- ,   1 ,... 
Sementes de culturas forrageiras,,   3 ,   27 ,   3 ,   27 ,- ,- ,- ,- ,- ,- 
Sementes e propágulos de outras culturas não lenhosas,,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
Outras culturas temporárias,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
