Principais culturas permanentes (Alentejo Central - Arraiolos),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Pág 1/2,,,,,,,,,,
REGIÃO AGRÁRIA /NutIII / Concelho,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes,,,,,,,,,,
ALENTEJO,,expl (nº),  25 282 ,  3 270 ,  5 142 ,   33 ,   828 ,  22 513 ,  3 726 ,   21 ,- ,- ,   1 ,,,,,,,,,,
,,área (ha),  161 662 ,  2 694 ,  2 194 ,   8 ,  1 998 ,  138 083 ,  16 593 ,   101 ,- ,- ,... ,,,,,,,,,,
Alentejo Litoral,,expl (nº),  2 843 ,   909 ,  1 480 ,   19 ,   191 ,  1 716 ,   544 ,   6 ,- ,- ,   1 ,,,,,,,,,,
,,área (ha),  6 917 ,   305 ,   640 ,   6 ,   89 ,  5 254 ,   586 ,   25 ,- ,- ,... ,,,,,,,,,,
,Alcácer do Sal,expl (nº),   324 ,   51 ,   89 ,- ,   2 ,   278 ,   26 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  2 861 ,   16 ,   124 ,- ,... ,  2 484 ,   234 ,- ,- ,- ,- ,,,,,,,,,,
,Grândola,expl (nº),   663 ,   129 ,   341 ,   2 ,   14 ,   475 ,   190 ,   1 ,- ,- ,- ,,,,,,,,,,
,,área (ha),  1 051 ,   48 ,   73 ,... ,   23 ,   758 ,   148 ,... ,- ,- ,- ,,,,,,,,,,
,Odemira,expl (nº),   579 ,   120 ,   197 ,   8 ,   12 ,   342 ,   57 ,   2 ,- ,- ,   1 ,,,,,,,,,,
,,área (ha),  1 264 ,   71 ,   70 ,   4 ,   7 ,  1 012 ,   66 ,... ,- ,- ,... ,,,,,,,,,,
,Santiago do Cacém,expl (nº),  1 135 ,   507 ,   733 ,   8 ,   151 ,   606 ,   256 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  1 687 ,   157 ,   351 ,o ,   56 ,   993 ,   132 ,- ,- ,- ,- ,,,,,,,,,,
,Sines,expl (nº),   142 ,   102 ,   120 ,   1 ,   12 ,   15 ,   15 ,   3 ,- ,- ,- ,,,,,,,,,,
,,área (ha),   54 ,   13 ,   22 ,... ,   1 ,   7 ,   6 ,   4 ,- ,- ,- ,,,,,,,,,,
Alto Alentejo,,expl (nº),  9 342 ,  1 173 ,  1 500 ,   3 ,   265 ,  8 930 ,  1 145 ,   3 ,- ,- ,- ,,,,,,,,,,
,,área (ha),  50 556 ,   687 ,   422 ,o ,   628 ,  47 419 ,  1 410 ,o ,- ,- ,- ,,,,,,,,,,
,Alter do Chão,expl (nº),   264 ,   12 ,   28 ,- ,   3 ,   260 ,   6 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  3 283 ,   4 ,   6 ,- ,o ,  3 170 ,   103 ,- ,- ,- ,- ,,,,,,,,,,
,Arronches,expl (nº),   412 ,   16 ,   22 ,- ,   1 ,   405 ,   14 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  1 980 ,   6 ,   5 ,- ,... ,  1 946 ,   19 ,- ,- ,- ,- ,,,,,,,,,,
,Avis,expl (nº),   372 ,   5 ,   9 ,- ,   3 ,   371 ,   11 ,   1 ,- ,- ,- ,,,,,,,,,,
,,área (ha),  5 190 ,   9 ,   6 ,- ,   9 ,  5 101 ,   65 ,... ,- ,- ,- ,,,,,,,,,,
,Campo Maior,expl (nº),   604 ,   7 ,   18 ,- ,   3 ,   596 ,   34 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  4 785 ,   112 ,   22 ,- ,   7 ,  4 591 ,   54 ,- ,- ,- ,- ,,,,,,,,,,
,Castelo de Vide,expl (nº),   289 ,   146 ,   121 ,- ,   35 ,   284 ,   58 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  1 901 ,   13 ,   5 ,- ,   32 ,  1 817 ,   34 ,- ,- ,- ,- ,,,,,,,,,,
,Crato,expl (nº),   424 ,   19 ,   17 ,- ,   2 ,   419 ,   28 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  2 722 ,   2 ,   8 ,- ,... ,  2 659 ,   33 ,- ,- ,- ,- ,,,,,,,,,,
,Elvas,expl (nº),   616 ,   34 ,   114 ,- ,   16 ,   590 ,   18 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  4 937 ,   22 ,   101 ,- ,   10 ,  4 652 ,   157 ,- ,- ,- ,- ,,,,,,,,,,
,Fronteira,expl (nº),   190 ,   7 ,   8 ,- ,   1 ,   185 ,   6 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  3 286 ,   7 ,   3 ,- ,... ,  3 272 ,   6 ,- ,- ,- ,- ,,,,,,,,,,
,Gavião,expl (nº),   896 ,   104 ,   134 ,- ,   11 ,   873 ,   268 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  2 711 ,   31 ,   29 ,- ,   1 ,  2 516 ,   135 ,- ,- ,- ,- ,,,,,,,,,,
,Marvão,expl (nº),   456 ,   15 ,   6 ,- ,   97 ,   436 ,   39 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  2 179 ,   7 ,   2 ,- ,   374 ,  1 749 ,   47 ,- ,- ,- ,- ,,,,,,,,,,
,Monforte,expl (nº),   177 ,   2 ,   8 ,- ,- ,   177 ,   5 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  1 751 ,... ,   5 ,- ,- ,  1 685 ,   60 ,- ,- ,- ,- ,,,,,,,,,,
,Mora,expl (nº),   334 ,   17 ,   67 ,- ,   2 ,   287 ,   89 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  1 462 ,   22 ,   16 ,- ,... ,  1 338 ,   87 ,- ,- ,- ,- ,,,,,,,,,,
,Nisa,expl (nº),  1 342 ,   370 ,   158 ,- ,   7 ,  1 328 ,   244 ,   2 ,- ,- ,- ,,,,,,,,,,
,,área (ha),  5 505 ,   49 ,   12 ,- ,o ,  5 321 ,   125 ,... ,- ,- ,- ,,,,,,,,,,
,Ponte de Sor,expl (nº),  1 479 ,   283 ,   647 ,   3 ,   12 ,  1 291 ,   44 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  3 470 ,   306 ,   158 ,o ,   5 ,  2 945 ,   57 ,- ,- ,- ,- ,,,,,,,,,,
,Portalegre,expl (nº),  1 487 ,   136 ,   143 ,- ,   72 ,  1 428 ,   281 ,- ,- ,- ,- ,,,,,,,,,,
,,área (ha),  5 394 ,   96 ,   44 ,- ,   168 ,  4 657 ,   428 ,- ,- ,- ,- ,,,,,,,,,,
Alentejo Central,,expl (nº),  7 010 ,   761 ,  1 457 ,   9 ,   198 ,  6 152 ,  1 225 ,   4 ,- ,- ,- ,,,,,,,,,,
