Efectivo animal (Alentejo Litoral - Grândola),,,,,,,,,
,,,,,,,,,Pág 1/13
,,ALENTEJO,,Alentejo Litoral,,Alcácer do Sal,,Grândola,
,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,  4 806 ,  392 268 ,  1 322 ,  62 910 ,   186 ,  21 144 ,   93 ,  5 300 
Bovinos com menos de 1 ano,,  3 761 ,  93 932 ,  1 089 ,  15 751 ,   171 ,  4 802 ,   74 ,  1 454 
Vitelos de carne (para abate < 1 ano),,   73 ,  1 765 ,   2 ,... ,- ,- ,   2 ,... 
Outros vitelos,,  3 716 ,  92 167 ,  1 087 ,  15 650 ,   171 ,  4 802 ,   72 ,  1 353 
,Machos,  3 277 ,  45 736 ,   936 ,  7 551 ,   159 ,  2 195 ,   60 ,   682 
,Fêmeas,  3 161 ,  46 431 ,   896 ,  8 099 ,   164 ,  2 607 ,   56 ,   671 
Bovinos de 1 a menos de 2 anos,,  2 495 ,  48 949 ,   670 ,  7 547 ,   127 ,  2 638 ,   46 ,   919 
Machos,,  1 124 ,  14 910 ,   289 ,  2 232 ,   39 ,   845 ,   32 ,   405 
Fêmeas reprodutoras,,  1 997 ,  28 405 ,   496 ,  4 679 ,   112 ,  1 749 ,   26 ,   276 
Fêmeas não reprodutoras,,   147 ,  5 634 ,   64 ,   636 ,   9 ,   44 ,   9 ,   238 
Bovinos de 2 anos e mais,,  4 473 ,  249 387 ,  1 232 ,  39 612 ,   175 ,  13 704 ,   76 ,  2 927 
Machos,,  3 068 ,  10 440 ,   774 ,  1 961 ,   153 ,  1 007 ,   48 ,   87 
Novilhas reprodutoras,,   952 ,  14 203 ,   188 ,  2 007 ,   45 ,   876 ,   12 ,   148 
Novilhas não reprodutoras,,   42 ,   751 ,   5 ,   375 ,   1 ,... ,   1 ,... 
Vacas leiteiras,,   658 ,  20 830 ,   68 ,  1 858 ,   8 ,   170 ,   9 ,   15 
Outras vacas,,  3 765 ,  203 163 ,  1 155 ,  33 411 ,   169 ,  11 302 ,   66 ,  2 673 
SUÍNOS,,  7 355 ,  466 228 ,  2 363 ,  150 305 ,   118 ,  14 825 ,   387 ,  37 269 
Suínos com menos de 20 kg de PV,,  1 890 ,  148 869 ,   622 ,  55 243 ,   23 ,  3 551 ,   96 ,  12 756 
Fêmeas reprodutoras de 50 kg de PV e mais,,  3 171 ,  71 902 ,  1 088 ,  21 549 ,   37 ,  1 434 ,   155 ,  5 122 
Outros suínos,,  6 792 ,  245 457 ,  2 193 ,  73 513 ,   118 ,  9 840 ,   352 ,  19 391 
OVINOS,,  10 747 , 1 476 342 ,  1 509 ,  172 661 ,   200 ,  37 880 ,   294 ,  34 038 
Fêmeas reprodutoras,,  10 559 , 1 189 892 ,  1 479 ,  145 437 ,   197 ,  31 436 ,   283 ,  27 832 
Outros ovinos,,  9 702 ,  286 450 ,  1 392 ,  27 224 ,   189 ,  6 444 ,   276 ,  6 206 
CAPRINOS,,  3 988 ,  119 949 ,   442 ,  16 482 ,   28 ,   987 ,   90 ,  2 547 
Fêmeas reprodutoras,,  3 941 ,  100 962 ,   437 ,  14 202 ,   27 ,   862 ,   88 ,  2 159 
Outros caprinos,,  2 441 ,  18 987 ,   311 ,  2 280 ,   23 ,   125 ,   58 ,   388 
EQUÍDEOS,,  4 827 ,  12 638 ,   886 ,  1 912 ,   79 ,   374 ,   86 ,   163 
Gado equino,,  1 773 ,  9 002 ,   260 ,  1 159 ,   49 ,   341 ,   46 ,   121 
,Fêmeas reprodutoras,  1 369 ,  4 675 ,   199 ,   596 ,   41 ,   173 ,   37 ,   73 
,Outros equinos,  1 182 ,  4 327 ,   163 ,   563 ,   37 ,   168 ,   27 ,   48 
Gado asinino,,  1 390 ,  1 599 ,   298 ,   343 ,   3 ,   3 ,   15 ,   15 
Gado muar,,  1 957 ,  2 037 ,   384 ,   410 ,   28 ,   30 ,   27 ,   27 
