Principais características da população familiar (Homem / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 9/15
,,,Mourão,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa,Baixo Alentejo,Aljustrel
Homem (nº indivíduos),,,,,,,,,,,,
População familiar,,,   507 ,  1 060 ,   979 ,  1 291 ,   665 ,   330 ,   420 ,   420 ,  13 878 ,   749 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   54 ,   148 ,   162 ,   155 ,   83 ,   31 ,   67 ,   66 ,  2 256 ,   102 
,Sabe ler e escrever,,   64 ,   123 ,   90 ,   183 ,   49 ,   29 ,   43 ,   40 ,  1 559 ,   77 
,Básico - 1º ciclo,,   184 ,   398 ,   358 ,   456 ,   290 ,   139 ,   136 ,   147 ,  5 046 ,   271 
,Básico - 2º ciclo,,   67 ,   155 ,   116 ,   147 ,   70 ,   35 ,   56 ,   45 ,  1 820 ,   102 
,Básico - 3º ciclo,,   63 ,   104 ,   93 ,   146 ,   72 ,   44 ,   41 ,   53 ,  1 515 ,   98 
,Secundário agrícola,,   2 ,   10 ,   9 ,   8 ,   10 ,   2 ,   8 ,   2 ,   158 ,   3 
,Secundário não agrícola,,   41 ,   60 ,   83 ,   122 ,   51 ,   29 ,   34 ,   36 ,   853 ,   51 
,Politécnico / Superior agrícola,,   2 ,   18 ,   21 ,   17 ,   15 ,   6 ,   17 ,   7 ,   244 ,   25 
,Politécnico / Superior não agrícola,,   30 ,   44 ,   47 ,   57 ,   25 ,   15 ,   18 ,   24 ,   427 ,   20 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   415 ,   831 ,   666 ,  1 046 ,   479 ,   244 ,   320 ,   312 ,  10 067 ,   550 
,Curta duração,,   8 ,   6 ,   31 ,   59 ,   12 ,   11 ,   5 ,   1 ,   173 ,   2 
,Longa duração,,   12 ,   25 ,   35 ,   23 ,   21 ,   5 ,   11 ,   2 ,   367 ,   8 
,Longa e curta duração,,   4 ,   6 ,   7 ,   28 ,   4 ,   8 ,   6 ,   5 ,   181 ,   2 
,Completa,,   4 ,   28 ,   30 ,   25 ,   25 ,   8 ,   25 ,   9 ,   402 ,   28 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,   66 ,   167 ,   222 ,   110 ,   137 ,   66 ,   63 ,   97 ,  2 912 ,   178 
,Tempo parcial,,   432 ,   774 ,   644 ,  1 139 ,   419 ,   191 ,   259 ,   262 ,  9 094 ,   396 
,,> 0 - < 25%,   245 ,   605 ,   493 ,   496 ,   290 ,   54 ,   113 ,   143 ,  5 554 ,   305 
,,25 - < 50%,   82 ,   88 ,   69 ,   274 ,   77 ,   40 ,   45 ,   71 ,  1 678 ,   54 
