Principais características do produtor singular (Homem/Mulher / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 5/15
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
Homem / Mulher (nº indivíduos),,,,,,,,,,,,,,
Produtor singular,,,   713 ,   215 ,   279 ,  1 130 ,   254 ,   425 ,   714 ,   684 ,  1 549 ,   640 ,  1 818 ,   591 
,Autónomo,,   680 ,   202 ,   260 ,   879 ,   233 ,   383 ,   667 ,   613 ,  1 368 ,   602 ,  1 630 ,   442 
,Empresário,,   33 ,   13 ,   19 ,   251 ,   21 ,   42 ,   47 ,   71 ,   181 ,   38 ,   188 ,   149 
Nível de instrução,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   191 ,   26 ,   59 ,   157 ,   23 ,   95 ,   77 ,   130 ,   233 ,   206 ,   327 ,   119 
,Sabe ler e escrever,,   136 ,   25 ,   41 ,   108 ,   32 ,   54 ,   59 ,   124 ,   208 ,   97 ,   311 ,   68 
,Básico - 1º ciclo,,   318 ,   111 ,   120 ,   489 ,   136 ,   187 ,   395 ,   331 ,   749 ,   242 ,   802 ,   273 
,Básico - 2º ciclo,,   25 ,   10 ,   29 ,   92 ,   19 ,   29 ,   55 ,   43 ,   153 ,   35 ,   134 ,   28 
,Básico - 3º ciclo,,   16 ,   15 ,   6 ,   129 ,   20 ,   30 ,   62 ,   25 ,   85 ,   25 ,   87 ,   49 
,Secundário agrícola,,- ,   3 ,- ,   12 ,   2 ,   5 ,   4 ,   1 ,   8 ,   5 ,   24 ,   2 
,Secundário não agrícola,,   8 ,   6 ,   10 ,   50 ,   12 ,   12 ,   35 ,   12 ,   52 ,   10 ,   51 ,   17 
,Politécnico / Superior agrícola,,   7 ,   7 ,   2 ,   43 ,   5 ,   3 ,   10 ,   8 ,   21 ,   7 ,   20 ,   17 
,Politécnico / Superior não agrícola,,   12 ,   12 ,   12 ,   50 ,   5 ,   10 ,   17 ,   10 ,   40 ,   13 ,   62 ,   18 
Formação profissional agrícola,,,,,,,,,,,,,,
,Exclusivamente prática,,   687 ,   199 ,   271 ,  1 018 ,   222 ,   405 ,   649 ,   630 ,  1 387 ,   600 ,  1 673 ,   500 
,Curta duração,,   5 ,   2 ,   1 ,   2 ,   15 ,   2 ,   13 ,   6 ,   26 ,   12 ,   15 ,   41 
,Longa duração,,   10 ,   3 ,   3 ,   45 ,   9 ,   6 ,   26 ,   27 ,   79 ,   12 ,   49 ,   19 
,Longa e curta duração,,   4 ,   1 ,   2 ,   10 ,   1 ,   4 ,   12 ,   12 ,   28 ,   4 ,   37 ,   12 
,Completa,,   7 ,   10 ,   2 ,   55 ,   7 ,   8 ,   14 ,   9 ,   29 ,   12 ,   44 ,   19 
Tempo de actividade agrícola ,,,,,,,,,,,,,,
,Tempo parcial,,   595 ,   162 ,   276 ,   827 ,   157 ,   354 ,   488 ,   494 ,  1 509 ,   481 ,  1 557 ,   471 
,,> 0 - < 25%,   230 ,   67 ,   217 ,   390 ,   53 ,   230 ,   363 ,   233 ,   885 ,   328 ,   994 ,   266 
,,25 - < 50%,   166 ,   43 ,   29 ,   242 ,   42 ,   79 ,   55 ,   122 ,   215 ,   69 ,   228 ,   124 
,,50 - < 75%,   77 ,   10 ,   13 ,   112 ,   16 ,   18 ,   40 ,   75 ,   153 ,   37 ,   121 ,   29 
,,75 - < 100%,   122 ,   42 ,   17 ,   83 ,   46 ,   27 ,   30 ,   64 ,   256 ,   47 ,   214 ,   52 
,Tempo completo,,   118 ,   53 ,   3 ,   303 ,   97 ,   71 ,   226 ,   190 ,   40 ,   159 ,   261 ,   120 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,
,Principal,,   159 ,   70 ,   102 ,   330 ,   55 ,   137 ,   180 ,   134 ,   506 ,   137 ,   518 ,   212 
,,Sector primário,   42 ,   13 ,   20 ,   62 ,   18 ,   41 ,   73 ,   50 ,   142 ,   30 ,   180 ,   57 
,,Sector secundário,   41 ,   20 ,   14 ,   50 ,   7 ,   19 ,   27 ,   20 ,   128 ,   22 ,   81 ,   37 
,,Sector terciário,   76 ,   37 ,   68 ,   218 ,   30 ,   77 ,   80 ,   64 ,   236 ,   85 ,   257 ,   118 
,Secundária,,   15 ,- ,   1 ,   52 ,   4 ,   12 ,   9 ,   14 ,   11 ,   21 ,   42 ,   8 
,,Sector primário,   6 ,- ,- ,   30 ,   1 ,   8 ,   3 ,   5 ,   7 ,   10 ,   13 ,   2 
,,Sector secundário,   3 ,- ,- ,   1 ,- ,- ,- ,   2 ,   2 ,   4 ,   8 ,   1 
,,Sector terciário,   6 ,- ,   1 ,   21 ,   3 ,   4 ,   6 ,   7 ,   2 ,   7 ,   21 ,   5 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,
,Patrão/empregador,,   7 ,   15 ,   12 ,   62 ,   6 ,   16 ,   25 ,   9 ,   48 ,   15 ,   68 ,   9 
,Trabalhador por conta própria,,   47 ,   10 ,   22 ,   84 ,   15 ,   23 ,   38 ,   46 ,   110 ,   39 ,   105 ,   68 
,Trabalhador por conta de outrem,,   120 ,   45 ,   67 ,   206 ,   38 ,   108 ,   123 ,   88 ,   350 ,   103 ,   374 ,   140 
,Trabalhador familiar remunerado,,- ,- ,- ,   4 ,- ,- ,- ,   3 ,- ,   1 ,- ,   1 
,Outra situação,,- ,- ,   2 ,   26 ,- ,   2 ,   3 ,   2 ,   9 ,- ,   13 ,   2 
Produtor singular dirigente,,,   695 ,   214 ,   276 ,  1 087 ,   239 ,   424 ,   704 ,   678 ,  1 526 ,   633 ,  1 788 ,   582 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
