Principais características do produtor singular (Mulher / Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 13/15
,,,Nisa,Ponte Sôr,Portalegre,Alentejo Central,Alandroal,Arraiolos,Borba,Estremoz,Évora,Montemor-o-Novo
Mulher (nº indivíduos),,,,,,,,,,,,
Produtor singular,,,   284 ,   448 ,   231 ,  1 477 ,   196 ,   55 ,   71 ,   173 ,   194 ,   116 
,Autónomo,,   275 ,   436 ,   227 ,  1 302 ,   187 ,   38 ,   64 ,   153 ,   163 ,   89 
,Empresário,,   9 ,   12 ,   4 ,   175 ,   9 ,   17 ,   7 ,   20 ,   31 ,   27 
Nível de instrução,,,,,,,,,,,,
,Não sabe ler nem escrever,,   66 ,   170 ,   67 ,   286 ,   56 ,   3 ,   20 ,   39 ,   25 ,   15 
,Sabe ler e escrever,,   48 ,   77 ,   33 ,   269 ,   38 ,   11 ,   8 ,   35 ,   26 ,   16 
,Básico - 1º ciclo,,   122 ,   146 ,   87 ,   504 ,   68 ,   19 ,   28 ,   53 ,   56 ,   34 
,Básico - 2º ciclo,,   13 ,   19 ,   14 ,   84 ,   10 ,   3 ,   5 ,   8 ,   14 ,   3 
,Básico - 3º ciclo,,   10 ,   11 ,   10 ,   92 ,   10 ,   3 ,   3 ,   12 ,   12 ,   14 
,Secundário agrícola,,   3 ,   1 ,   1 ,   7 ,   1 ,- ,- ,   3 ,   1 ,   2 
,Secundário não agrícola,,   7 ,   9 ,   9 ,   80 ,   5 ,   8 ,   4 ,   11 ,   18 ,   7 
,Politécnico / Superior agrícola,,   1 ,- ,- ,   21 ,   1 ,- ,- ,   1 ,   8 ,   4 
,Politécnico / Superior não agrícola,,   14 ,   15 ,   10 ,   134 ,   7 ,   8 ,   3 ,   11 ,   34 ,   21 
Formação profissional agrícola,,,,,,,,,,,,
,Exclusivamente prática,,   279 ,   441 ,   217 ,  1 378 ,   183 ,   52 ,   68 ,   162 ,   171 ,   103 
,Curta duração,,- ,   2 ,- ,   20 ,   5 ,- ,   2 ,   1 ,   1 ,   2 
,Longa duração,,   1 ,   4 ,   4 ,   38 ,   3 ,   2 ,- ,   4 ,   10 ,   5 
,Longa e curta duração,,- ,- ,   9 ,   13 ,   3 ,   1 ,   1 ,   2 ,   3 ,- 
,Completa,,   4 ,   1 ,   1 ,   28 ,   2 ,- ,- ,   4 ,   9 ,   6 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,   267 ,   404 ,   218 ,  1 318 ,   165 ,   45 ,   67 ,   150 ,   159 ,   101 
,,> 0 - < 25%,   168 ,   232 ,   136 ,   979 ,   140 ,   26 ,   50 ,   125 ,   115 ,   59 
,,25 - < 50%,   62 ,   94 ,   43 ,   182 ,   16 ,   7 ,   9 ,   14 ,   22 ,   16 
,,50 - < 75%,   24 ,   55 ,   23 ,   92 ,   7 ,   10 ,   4 ,   8 ,   12 ,   8 
,,75 - < 100%,   13 ,   23 ,   16 ,   65 ,   2 ,   2 ,   4 ,   3 ,   10 ,   18 
,Tempo completo,,   17 ,   44 ,   13 ,   159 ,   31 ,   10 ,   4 ,   23 ,   35 ,   15 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   35 ,   95 ,   41 ,   358 ,   31 ,   18 ,   23 ,   40 ,   66 ,   25 
,,Sector primário,- ,   39 ,   4 ,   60 ,   6 ,- ,   6 ,   11 ,   1 ,   3 
,,Sector secundário,   5 ,   5 ,   5 ,   32 ,   6 ,   1 ,   1 ,   1 ,   10 ,   1 
,,Sector terciário,   30 ,   51 ,   32 ,   266 ,   19 ,   17 ,   16 ,   28 ,   55 ,   21 
,Secundária,,- ,- ,   1 ,   8 ,- ,   1 ,- ,- ,   1 ,   1 
,,Sector primário,- ,- ,   1 ,   3 ,- ,- ,- ,- ,   1 ,- 
,,Sector secundário,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,Sector terciário,- ,- ,- ,   4 ,- ,   1 ,- ,- ,- ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   4 ,   5 ,   3 ,   35 ,- ,   1 ,   5 ,   6 ,   4 ,   4 
,Trabalhador por conta própria,,   5 ,   14 ,   5 ,   52 ,   6 ,   3 ,   3 ,- ,   7 ,   3 
,Trabalhador por conta de outrem,,   26 ,   73 ,   33 ,   278 ,   25 ,   15 ,   15 ,   34 ,   56 ,   18 
,Trabalhador familiar remunerado,,- ,   1 ,   1 ,   1 ,- ,- ,- ,- ,- ,   1 
,Outra situação,,- ,   2 ,- ,- ,- ,- ,- ,- ,- ,- 
Produtor singular dirigente,,,   255 ,   422 ,   221 ,  1 303 ,   193 ,   49 ,   55 ,   159 ,   154 ,   108 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
