Produtor singular segundo a  dimensão económica e as classes de idade (Alentejo Central - Estremoz),,,,,,,,,,
,,,,,,,,,,Pág 4/8
REGIÃO AGRÁRIA,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III / Concelho,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Ponte de Sôr,,,,,,,,
,,Total,  1 988 ,  1 209 ,   381 ,   216 ,   105 ,   46 ,   24 ,   7 
,,15 - 24,   10 ,   6 ,- ,- ,   2 ,   1 ,   1 ,- 
,,25 - 34,   55 ,   24 ,   11 ,   6 ,   8 ,   3 ,   3 ,- 
,,35 - 44,   179 ,   96 ,   25 ,   23 ,   17 ,   11 ,   6 ,   1 
,,45 - 54,   274 ,   159 ,   54 ,   33 ,   16 ,   8 ,   2 ,   2 
,,55 - 64,   484 ,   291 ,   95 ,   57 ,   22 ,   12 ,   3 ,   4 
,,>= 65,   986 ,   633 ,   196 ,   97 ,   40 ,   11 ,   9 ,- 
,,Portalegre,,,,,,,,
,,Total,  1 615 ,   982 ,   267 ,   186 ,   113 ,   51 ,   15 ,   1 
,,15 - 24,   4 ,   1 ,   1 ,   1 ,   1 ,- ,- ,- 
,,25 - 34,   65 ,   27 ,   9 ,   6 ,   10 ,   6 ,   6 ,   1 
,,35 - 44,   118 ,   55 ,   12 ,   19 ,   19 ,   13 ,- ,- 
,,45 - 54,   212 ,   113 ,   39 ,   35 ,   14 ,   7 ,   4 ,- 
,,55 - 64,   433 ,   248 ,   77 ,   57 ,   35 ,   12 ,   4 ,- 
,,>= 65,   783 ,   538 ,   129 ,   68 ,   34 ,   13 ,   1 ,- 
,Alentejo Central,,,,,,,,,
,Total,,  8 505 ,  4 513 ,  1 145 ,   925 ,   690 ,   730 ,   362 ,   140 
,15 - 24,,   22 ,   8 ,   2 ,   3 ,   2 ,   4 ,   2 ,   1 
,25 - 34,,   360 ,   115 ,   39 ,   56 ,   45 ,   64 ,   34 ,   7 
,35 - 44,,   814 ,   300 ,   86 ,   99 ,   91 ,   149 ,   64 ,   25 
,45 - 54,,  1 404 ,   658 ,   197 ,   158 ,   125 ,   161 ,   82 ,   23 
,55 - 64,,  2 172 ,  1 131 ,   311 ,   252 ,   196 ,   159 ,   81 ,   42 
,>= 65,,  3 733 ,  2 301 ,   510 ,   357 ,   231 ,   193 ,   99 ,   42 
,,Alandroal,,,,,,,,
,,Total,   858 ,   572 ,   79 ,   68 ,   55 ,   61 ,   18 ,   5 
,,15 - 24,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   21 ,   8 ,   1 ,   1 ,   5 ,   5 ,   1 ,- 
,,35 - 44,   74 ,   26 ,   6 ,   12 ,   10 ,   19 ,- ,   1 
,,45 - 54,   117 ,   69 ,   14 ,   10 ,   9 ,   11 ,   3 ,   1 
,,55 - 64,   217 ,   131 ,   29 ,   22 ,   15 ,   12 ,   7 ,   1 
,,>= 65,   428 ,   337 ,   29 ,   23 ,   16 ,   14 ,   7 ,   2 
,,Arraiolos,,,,,,,,
,,Total,   364 ,   122 ,   67 ,   53 ,   31 ,   44 ,   35 ,   12 
,,15 - 24,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,25 - 34,   18 ,   4 ,   4 ,   3 ,   2 ,   3 ,   2 ,- 
,,35 - 44,   39 ,   10 ,   5 ,   5 ,   4 ,   6 ,   5 ,   4 
,,45 - 54,   67 ,   20 ,   9 ,   11 ,   5 ,   11 ,   9 ,   2 
,,55 - 64,   105 ,   36 ,   21 ,   14 ,   9 ,   12 ,   10 ,   3 
,,>= 65,   134 ,   52 ,   28 ,   20 ,   11 ,   11 ,   9 ,   3 
,,Borba,,,,,,,,
,,Total,   496 ,   264 ,   60 ,   63 ,   55 ,   38 ,   12 ,   4 
,,15 - 24,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   18 ,   5 ,   3 ,   4 ,   2 ,   3 ,   1 ,- 
,,35 - 44,   44 ,   16 ,   3 ,   4 ,   9 ,   7 ,   4 ,   1 
,,45 - 54,   81 ,   44 ,   11 ,   11 ,   9 ,   4 ,   1 ,   1 
,,55 - 64,   124 ,   63 ,   15 ,   21 ,   11 ,   10 ,   3 ,   1 
,,>= 65,   228 ,   135 ,   28 ,   23 ,   24 ,   14 ,   3 ,   1 
,,Estremoz,,,,,,,,
,,Total,  1 041 ,   522 ,   154 ,   135 ,   105 ,   96 ,   21 ,   8 
,,15 - 24,   4 ,- ,   2 ,- ,   1 ,   1 ,- ,- 
,,25 - 34,   51 ,   9 ,   10 ,   10 ,   12 ,   10 ,- ,- 
,,35 - 44,   94 ,   30 ,   16 ,   13 ,   10 ,   19 ,   6 ,- 
,,45 - 54,   170 ,   62 ,   29 ,   25 ,   25 ,   21 ,   6 ,   2 
,,55 - 64,   240 ,   125 ,   26 ,   32 ,   31 ,   18 ,   4 ,   4 
,,>= 65,   482 ,   296 ,   71 ,   55 ,   26 ,   27 ,   5 ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
