Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alto Alentejo - Portalegre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 10/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fronteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   234 ,- ,   39 ,   2 ,   37 ,   14 ,   1 ,   14 ,   31 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   3 ,- ,- ,- ,- ,   1 ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   8 ,- ,   3 ,- ,- ,   1 ,- ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   34 ,- ,   8 ,   1 ,   3 ,   1 ,- ,   3 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   52 ,- ,   11 ,- ,   5 ,   5 ,- ,   5 ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   55 ,- ,   10 ,- ,   10 ,   3 ,   1 ,   2 ,   15 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   82 ,- ,   7 ,   1 ,   19 ,   3 ,- ,   4 ,   6 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gavião,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   958 ,   1 ,   23 ,   12 ,   179 ,   17 ,   10 ,   6 ,   79 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   10 ,- ,   1 ,- ,   1 ,   1 ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   46 ,   1 ,   2 ,   2 ,   4 ,   1 ,   1 ,   2 ,   6 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   108 ,- ,   4 ,- ,   18 ,   1 ,   1 ,- ,   12 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
