Produtor singular segundo a OTE e as classes de idade (Não Classificado / Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 14/14,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,
,Mértola,,,,,,,,,,,,,,,,
,Total,   684 ,- ,   270 ,   14 ,   36 ,   19 ,   12 ,   90 ,   52 ,   7 ,,,,,,
,15 - 24,   4 ,- ,   1 ,- ,- ,- ,- ,   1 ,   1 ,- ,,,,,,
,25 - 34,   42 ,- ,   17 ,- ,- ,   2 ,   1 ,   15 ,   2 ,- ,,,,,,
,35 - 44,   86 ,- ,   37 ,   2 ,   2 ,   2 ,   1 ,   22 ,   4 ,- ,,,,,,
,45 - 54,   87 ,- ,   37 ,   2 ,   4 ,   1 ,   1 ,   15 ,   11 ,- ,,,,,,
,55 - 64,   164 ,- ,   58 ,   4 ,   9 ,   8 ,   3 ,   24 ,   16 ,   1 ,,,,,,
,>= 65,   301 ,- ,   120 ,   6 ,   21 ,   6 ,   6 ,   13 ,   18 ,   6 ,,,,,,
,Moura,,,,,,,,,,,,,,,,
,Total,  1 549 ,- ,   96 ,   8 ,   211 ,   20 ,   14 ,   30 ,   70 ,   12 ,,,,,,
,15 - 24,   3 ,- ,   2 ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   69 ,- ,   15 ,   1 ,   7 ,- ,   3 ,   4 ,   4 ,   1 ,,,,,,
,35 - 44,   210 ,- ,   18 ,   4 ,   37 ,   3 ,   3 ,   7 ,   11 ,   3 ,,,,,,
,45 - 54,   317 ,- ,   27 ,   1 ,   43 ,   3 ,   5 ,   5 ,   13 ,   3 ,,,,,,
,55 - 64,   387 ,- ,   15 ,   1 ,   59 ,   6 ,   1 ,   9 ,   23 ,   3 ,,,,,,
,>= 65,   563 ,- ,   19 ,   1 ,   65 ,   8 ,   2 ,   5 ,   19 ,   2 ,,,,,,
,Ourique,,,,,,,,,,,,,,,,
,Total,   640 ,- ,   223 ,   83 ,   26 ,   37 ,   68 ,   36 ,   47 ,   5 ,,,,,,
,15 - 24,   2 ,- ,   1 ,   1 ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   24 ,- ,   3 ,   1 ,   2 ,   1 ,   5 ,   5 ,   1 ,   1 ,,,,,,
,35 - 44,   62 ,- ,   17 ,   8 ,   3 ,   1 ,   6 ,   4 ,   4 ,   1 ,,,,,,
,45 - 54,   109 ,- ,   33 ,   15 ,   5 ,   9 ,   12 ,   6 ,   9 ,- ,,,,,,
,55 - 64,   167 ,- ,   61 ,   22 ,   5 ,   14 ,   22 ,   7 ,   10 ,   1 ,,,,,,
,>= 65,   276 ,- ,   108 ,   36 ,   11 ,   12 ,   23 ,   14 ,   23 ,   2 ,,,,,,
,Serpa,,,,,,,,,,,,,,,,
,Total,  1 818 ,- ,   225 ,   17 ,   210 ,   52 ,   19 ,   63 ,   72 ,   39 ,,,,,,
,15 - 24,   7 ,- ,   2 ,   1 ,- ,- ,- ,- ,   1 ,- ,,,,,,
,25 - 34,   84 ,- ,   20 ,   1 ,   13 ,   2 ,- ,   7 ,   4 ,- ,,,,,,
,35 - 44,   218 ,- ,   35 ,   3 ,   26 ,   10 ,   5 ,   14 ,   15 ,   2 ,,,,,,
,45 - 54,   319 ,- ,   28 ,   1 ,   40 ,   20 ,   5 ,   12 ,   7 ,   3 ,,,,,,
,55 - 64,   465 ,- ,   60 ,   3 ,   45 ,   11 ,   7 ,   16 ,   27 ,   5 ,,,,,,
,>= 65,   725 ,- ,   80 ,   8 ,   86 ,   9 ,   2 ,   14 ,   18 ,   29 ,,,,,,
,Vidigueira,,,,,,,,,,,,,,,,
,Total,   591 ,   2 ,   39 ,   2 ,   69 ,   4 ,- ,   10 ,   23 ,   5 ,,,,,,
,15 - 24,   3 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,,,,,,
,25 - 34,   25 ,- ,   8 ,- ,   1 ,   1 ,- ,   1 ,   1 ,- ,,,,,,
,35 - 44,   61 ,   2 ,   6 ,- ,   8 ,- ,- ,   4 ,- ,- ,,,,,,
,45 - 54,   91 ,- ,   4 ,   2 ,   9 ,   1 ,- ,   2 ,   7 ,- ,,,,,,
,55 - 64,   164 ,- ,   10 ,- ,   18 ,   2 ,- ,   3 ,   8 ,   3 ,,,,,,
,>= 65,   247 ,- ,   10 ,- ,   33 ,- ,- ,- ,   7 ,   2 ,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,
