População e mão-de-obra agrícola familiar (UTA) (Alentejo Central - Arraiolos),,,,,,,,,
,,,,,,,,,Pág 1/2
REGIÃO AGRÁRIA,,População familiar total,,,,População familiar com tempo de actividade na exploração,,,
Nut III / Concelho,,Total,Produtor,Cônjuge,Outros membros,Total,Produtor,Cônjuge,Outros membros
ALENTEJO,ind (nº),  91 678 ,  34 445 ,  27 563 ,  29 670 ,  66 999 ,  34 445 ,  20 179 ,  12 375 
,UTA,- ,- ,- ,- ,  25 060 ,  16 071 ,  6 089 ,  2 900 
Alentejo Litoral,ind (nº),  15 147 ,  5 468 ,  4 465 ,  5 214 ,  10 939 ,  5 468 ,  3 516 ,  1 955 
,UTA,- ,- ,- ,- ,  4 492 ,  2 779 ,  1 201 ,   512 
Alcácer do Sal,ind (nº),  2 482 ,   818 ,   697 ,   967 ,  1 778 ,   818 ,   548 ,   412 
,UTA,- ,- ,- ,- ,   876 ,   513 ,   233 ,   130 
Grândola,ind (nº),  2 602 ,   978 ,   806 ,   818 ,  1 993 ,   978 ,   638 ,   377 
,UTA,- ,- ,- ,- ,   945 ,   570 ,   270 ,   105 
Odemira,ind (nº),  5 058 ,  1 878 ,  1 514 ,  1 666 ,  3 817 ,  1 878 ,  1 286 ,   653 
,UTA,- ,- ,- ,- ,  1 383 ,   871 ,   363 ,   149 
Santiago do Cacém,ind (nº),  4 387 ,  1 581 ,  1 273 ,  1 533 ,  2 938 ,  1 581 ,   916 ,   441 
,UTA,- ,- ,- ,- ,  1 160 ,   745 ,   303 ,   112 
Sines,ind (nº),   618 ,   213 ,   175 ,   230 ,   413 ,   213 ,   128 ,   72 
,UTA,- ,- ,- ,- ,   128 ,   80 ,   32 ,   16 
Alto Alentejo,ind (nº),  26 936 ,  10 867 ,  8 731 ,  7 338 ,  20 799 ,  10 867 ,  6 785 ,  3 147 
,UTA,- ,- ,- ,- ,  7 898 ,  5 030 ,  2 154 ,   714 
Alter do Chão,ind (nº),   778 ,   333 ,   273 ,   172 ,   626 ,   333 ,   241 ,   52 
,UTA,- ,- ,- ,- ,   203 ,   137 ,   56 ,   10 
Arronches,ind (nº),  1 154 ,   463 ,   348 ,   343 ,   724 ,   463 ,   181 ,   80 
,UTA,- ,- ,- ,- ,   330 ,   218 ,   79 ,   33 
Avis,ind (nº),  1 130 ,   437 ,   343 ,   350 ,   949 ,   437 ,   312 ,   200 
,UTA,- ,- ,- ,- ,   329 ,   229 ,   68 ,   32 
Campo Maior,ind (nº),  1 785 ,   651 ,   537 ,   597 ,  1 055 ,   651 ,   219 ,   185 
,UTA,- ,- ,- ,- ,   513 ,   337 ,   114 ,   62 
Castelo de Vide,ind (nº),   775 ,   298 ,   257 ,   220 ,   615 ,   298 ,   219 ,   98 
,UTA,- ,- ,- ,- ,   317 ,   191 ,   103 ,   23 
Crato,ind (nº),  1 097 ,   450 ,   359 ,   288 ,   775 ,   450 ,   238 ,   87 
,UTA,- ,- ,- ,- ,   270 ,   191 ,   58 ,   21 
Elvas,ind (nº),  2 105 ,   767 ,   616 ,   722 ,  1 282 ,   767 ,   327 ,   188 
,UTA,- ,- ,- ,- ,   549 ,   390 ,   104 ,   55 
Fronteira,ind (nº),   684 ,   234 ,   207 ,   243 ,   573 ,   234 ,   190 ,   149 
,UTA,- ,- ,- ,- ,   232 ,   140 ,   63 ,   29 
Gavião,ind (nº),  2 172 ,   958 ,   786 ,   428 ,  1 764 ,   958 ,   634 ,   172 
,UTA,- ,- ,- ,- ,   708 ,   448 ,   222 ,   38 
Marvão,ind (nº),  1 169 ,   554 ,   449 ,   166 ,   984 ,   554 ,   396 ,   34 
,UTA,- ,- ,- ,- ,   424 ,   268 ,   144 ,   12 
Monforte,ind (nº),   549 ,   222 ,   180 ,   147 ,   368 ,   222 ,   105 ,   41 
,UTA,- ,- ,- ,- ,   142 ,   103 ,   29 ,   10 
Mora,ind (nº),  1 223 ,   502 ,   412 ,   309 ,   991 ,   502 ,   352 ,   137 
,UTA,- ,- ,- ,- ,   279 ,   180 ,   69 ,   30 
Nisa,ind (nº),  3 247 ,  1 388 ,  1 094 ,   765 ,  2 469 ,  1 388 ,   788 ,   293 
,UTA,- ,- ,- ,- ,  1 017 ,   647 ,   295 ,   75 
Ponte de Sor,ind (nº),  4 977 ,  1 993 ,  1 559 ,  1 425 ,  4 408 ,  1 993 ,  1 455 ,   960 
,UTA,- ,- ,- ,- ,  1 432 ,   842 ,   414 ,   176 
Portalegre,ind (nº),  4 091 ,  1 617 ,  1 311 ,  1 163 ,  3 216 ,  1 617 ,  1 128 ,   471 
,UTA,- ,- ,- ,- ,  1 153 ,   709 ,   336 ,   108 
Alentejo Central,ind (nº),  23 360 ,  8 639 ,  6 886 ,  7 835 ,  17 257 ,  8 639 ,  4 834 ,  3 784 
,UTA,- ,- ,- ,- ,  6 279 ,  3 983 ,  1 418 ,   878 
Alandroal,ind (nº),  2 030 ,   877 ,   658 ,   495 ,  1 761 ,   877 ,   597 ,   287 
,UTA,- ,- ,- ,- ,   609 ,   345 ,   198 ,   66 
Arraiolos,ind (nº),  1 037 ,   366 ,   294 ,   377 ,   632 ,   366 ,   140 ,   126 
,UTA,- ,- ,- ,- ,   295 ,   195 ,   46 ,   54 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,
