"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (OTE / Alentejo Central - Vila Viçosa)",,,,,,,,
,,,,,,,,Pág 10/14
,,Portel,Redondo,Reguengos de Monsaraz,Sousel,Vendas Novas,Viana do Alentejo,Vila Viçosa
OTE,expl (nº),   772 ,   680 ,  1 008 ,   537 ,   232 ,   314 ,   321 
,SAL (ha),  38 834 ,  27 326 ,  38 164 ,  24 056 ,  17 552 ,  34 181 ,  13 121 
Cereais plantas olea./proteaginosas,expl (nº),   42 ,   16 ,   105 ,   65 ,   6 ,   14 ,   9 
,SAL (ha),  7 819 ,  1 704 ,  6 466 ,  1 193 ,   715 ,  2 030 ,  1 071 
Culturas agrícolas diversas,expl (nº),   8 ,   36 ,   34 ,   34 ,   3 ,   14 ,   7 
,SAL (ha),   152 ,  1 128 ,   445 ,  1 670 ,   10 ,   256 ,   975 
Horticultura,expl (nº),   3 ,   2 ,   21 ,   5 ,   3 ,   7 ,   2 
,SAL (ha),   5 ,... ,   49 ,   15 ,   10 ,   28 ,... 
Viticultura,expl (nº),- ,   128 ,   267 ,   1 ,   44 ,   1 ,   4 
,SAL (ha),- ,  3 499 ,  6 437 ,... ,   529 ,... ,   67 
Fruticultura,expl (nº),   10 ,   5 ,   17 ,   6 ,   51 ,   17 ,   16 
,SAL (ha),   15 ,   7 ,   110 ,   15 ,   70 ,   74 ,   60 
Olivicultura,expl (nº),   357 ,   153 ,   176 ,   188 ,- ,   27 ,   115 
,SAL (ha),  1 663 ,  1 058 ,   481 ,  1 597 ,- ,   337 ,   806 
Culturas permanentes diversas,expl (nº),   63 ,   29 ,   71 ,   2 ,   15 ,   9 ,   14 
,SAL (ha),   481 ,  1 655 ,   889 ,... ,   27 ,   249 ,   282 
Bovinos de leite,expl (nº),   1 ,   7 ,   1 ,   5 ,- ,   3 ,   1 
,SAL (ha),... ,   440 ,... ,   190 ,- ,   403 ,... 
Bovinos para gado/carne,expl (nº),   11 ,   13 ,   4 ,   1 ,   9 ,   31 ,   11 
,SAL (ha),  2 623 ,  2 832 ,  1 441 ,... ,  5 542 ,  8 460 ,  3 259 
Bovinos para leite/gado/carne,expl (nº),- ,   4 ,   1 ,   8 ,- ,   1 ,   1 
,SAL (ha),- ,   147 ,... ,   533 ,- ,... ,... 
Ovinos/caprinos/out. herbívoros,expl (nº),   55 ,   100 ,   43 ,   73 ,   28 ,   71 ,   49 
,SAL (ha),  2 818 ,  3 306 ,  1 240 ,  3 117 ,  3 332 ,  7 832 ,  1 058 
Granívoros,expl (nº),   10 ,   15 ,   23 ,   4 ,   9 ,   6 ,   5 
,SAL (ha),   964 ,   139 ,   572 ,   279 ,   218 ,   193 ,   10 
Policultura,expl (nº),   68 ,   66 ,   121 ,   68 ,   30 ,   24 ,   18 
,SAL (ha),  6 765 ,  5 128 ,  8 934 ,  7 474 ,  1 035 ,  1 020 ,   625 
Polipecuária-herbívoros,expl (nº),   29 ,   16 ,   9 ,   10 ,   4 ,   17 ,   12 
,SAL (ha),  7 470 ,  3 121 ,  1 162 ,  1 739 ,  1 321 ,  2 640 ,   778 
Polipecuária-granívoros,expl (nº),   17 ,   15 ,   12 ,   5 ,   11 ,   8 ,   7 
,SAL (ha),   728 ,   573 ,   586 ,   444 ,   149 ,   177 ,   92 
Agricultura geral e herbívoros,expl (nº),   20 ,   8 ,   26 ,   17 ,   4 ,   22 ,   13 
,SAL (ha),  5 629 ,  1 208 ,  7 458 ,  2 790 ,  4 552 ,  9 873 ,  2 679 
Culturas diversas e gado,expl (nº),   75 ,   58 ,   51 ,   29 ,   15 ,   41 ,   34 
,SAL (ha),  1 396 ,  1 317 ,  1 779 ,  2 805 ,   45 ,   593 ,   989 
Não classificadas,expl (nº),   3 ,   9 ,   26 ,   16 ,- ,   1 ,   3 
,SAL (ha),   12 ,   60 ,   51 ,   60 ,- ,... ,   182 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
