Culturas regadas (página 2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág. 2/2
Região Agrária,,,,Beterraba Sacarina,Girassol,Tomate para indústria,Hortícolas ao ar livre,"Prados, Pastagens permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para tinto,Olival,Outras excepto a da horta familiar
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
Algarve,,,expl (nº),1,2,- ,"2,303",41,"3,048","9,545",381,165,131,"1,657"
,,,área regada (ha),... ,... ,- ,"1,013",99,"1,580","14,991",558,142,46,"1,357"
,Algarve,,expl (nº),1,2,- ,"2,303",41,"3,048","9,545",381,165,131,"1,657"
,,,área regada (ha),... ,... ,- ,"1,013",99,"1,580","14,991",558,142,46,"1,357"
,,Albufeira,expl (nº),- ,- ,- ,38,- ,141,498,11,7,3,21
,,,área regada (ha),- ,- ,- ,42,- ,113,806,33,10,2,169
,,Alcoutim,expl (nº),- ,- ,- ,154,1,31,110,4,27,4,67
,,,área regada (ha),- ,- ,- ,9,... ,13,60,1,1,3,5
,,Aljezur,expl (nº),- ,- ,- ,122,1,55,105,1,- ,6,358
,,,área regada (ha),- ,- ,- ,43,... ,26,23,... ,- ,1,150
,,Castro Marim,expl (nº),- ,- ,- ,132,- ,128,355,23,24,9,23
,,,área regada (ha),- ,- ,- ,78,- ,107,117,89,7,1,15
,,Faro,expl (nº),- ,- ,- ,106,7,158,910,23,3,2,305
,,,área regada (ha),- ,- ,- ,55,7,85,"1,656",22,1,... ,433
,,Lagoa,expl (nº),- ,- ,- ,51,2,101,237,12,4,1,18
,,,área regada (ha),- ,- ,- ,34,... ,62,339,8,13,... ,11
,,Lagos,expl (nº),- ,- ,- ,278,9,333,419,30,12,6,65
,,,área regada (ha),- ,- ,- ,122,14,67,133,44,39,1,19
,,Loulé,expl (nº),- ,1,- ,113,2,364,"1,570",12,6,11,132
,,,área regada (ha),- ,... ,- ,102,... ,185,"1,720",18,1,o ,85
,,Monchique,expl (nº),- ,- ,- ,164,8,266,475,2,1,26,44
,,,área regada (ha),- ,- ,- ,46,11,65,179,... ,... ,12,6
,,Olhão,expl (nº),- ,- ,- ,110,1,313,812,64,21,15,123
,,,área regada (ha),- ,- ,- ,70,... ,145,"1,405",61,14,3,224
,,Portimão,expl (nº),- ,- ,- ,158,5,238,433,25,6,13,12
,,,área regada (ha),- ,- ,- ,116,19,123,426,20,7,1,31
,,São Brás de Alportel,expl (nº),- ,- ,- ,29,- ,31,205,2,2,1,11
,,,área regada (ha),- ,- ,- ,14,- ,6,142,... ,... ,... ,4
,,Silves,expl (nº),1,1,- ,121,2,337,"2,083",24,16,18,99
,,,área regada (ha),... ,... ,- ,87,... ,265,"5,888",14,27,10,131
,,Tavira,expl (nº),- ,- ,- ,524,- ,486,"1,152",118,32,16,314
,,,área regada (ha),- ,- ,- ,124,- ,259,"1,941",176,17,11,54
,,Vila do Bispo,expl (nº),- ,- ,- ,58,- ,13,15,1,- ,- ,10
,,,área regada (ha),- ,- ,- ,15,- ,2,11,... ,- ,- ,1
,,Vila Real de Santo António,expl (nº),- ,- ,- ,145,3,53,166,29,4,- ,55
,,,área regada (ha),- ,- ,- ,56,30,57,145,48,4,- ,19
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
