"Principais características da população familiar - Homem/Mulher, página 2",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 4/6
,,,Loulé,Monchique,Olhão,Portimão,São Brás de Alportel,Silves,Tavira,Vila do Bispo,Vila Real de Santo António
,,,nº de indivíduos,,,,,,,,
Homem / Mulher,,,,,,,,,,,
População familiar,,,"8,770","2,115","2,865","1,498","1,436","7,970","5,833",411,706
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,"1,318",522,302,295,172,"1,582","1,489",96,156
,Sabe ler e escrever,,"1,713",463,463,270,166,"1,257",866,67,114
,Básico - 1º ciclo,,"3,549",678,"1,233",474,733,"2,652","1,943",154,256
,Básico - 2º ciclo,,690,154,250,163,108,693,509,36,58
,Básico - 3º ciclo,,605,157,231,180,110,771,441,21,61
,Secundário agrícola,,7,6,15,3,- ,38,16,- ,2
,Secundário não agrícola,,541,96,223,58,101,655,345,23,34
,Politécnico / Superior agrícola,,31,6,15,7,3,58,37,4,3
,Politécnico / Superior não agrícola,,316,33,133,48,43,264,187,10,22
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"7,464","1,727","2,604","1,140","1,139","6,236","5,207",371,670
,Curta duração,,74,86,18,14,7,118,99,4,- 
,Longa duração,,78,33,21,9,3,107,44,3,1
,Longa e curta duração,,28,3,4,2,8,43,23,- ,- 
,Completa,,38,12,30,10,3,96,53,4,5
Tempo de actividade agrícola ,,,,,,,,,,,
,Sem actividade,,"1,184",322,424,321,280,"1,571","1,050",29,35
,Tempo parcial,,"7,426","1,423","2,412","1,104","1,150","6,018","4,724",377,670
,> 0 - < 25%,,"3,958",613,"1,296",380,813,"2,750","3,107",270,522
,25 - < 50%,,"1,865",369,575,416,189,"1,402",939,51,93
,50 - < 75%,,938,234,276,124,96,823,431,29,45
,75 - < 100%,,665,207,265,184,52,"1,043",247,27,10
,Tempo completo,,160,370,29,73,6,381,59,5,1
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,"2,436",592,968,474,446,"2,196","1,715",124,211
,,Sector primário,172,127,108,32,34,195,343,17,34
,,Sector secundário,579,113,235,132,145,413,423,23,62
,,Sector terciário,"1,685",352,625,310,267,"1,588",949,84,115
,Secundária,,53,63,12,8,11,95,115,6,3
,,Sector primário,8,34,3,- ,1,26,57,2,- 
,,Sector secundário,17,4,2,- ,4,22,12,- ,1
,,Sector terciário,28,25,7,8,6,47,46,4,2
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,238,21,138,59,55,173,167,12,43
,Trabalhador por conta própria,,566,143,193,84,117,434,327,15,35
,Trabalhador por conta de outrem,,"1,650",491,629,329,281,"1,657","1,325",103,136
,Trabalhador familiar remunerado,,12,- ,8,10,- ,17,6,- ,- 
,Outra situação,,23,- ,12,- ,4,10,5,- ,- 
Dirigente na população familiar,,,"3,535",768,"1,139",551,559,"3,047","2,129",167,310
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,
