Produtor singular segundo a OTE e as classes de idade  (Página 3),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/4
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Loulé,,,,,,,,,,,
,,,Total,"3,539",6,30,30,11,"2,117",81,659,- ,1
,,,15 - 24,8,- ,- ,1,- ,3,- ,2,- ,- 
,,,25 - 34,64,- ,- ,4,1,39,- ,3,- ,- 
,,,35 - 44,168,- ,4,7,- ,79,5,26,- ,- 
,,,45 - 54,469,2,4,3,2,282,8,78,- ,- 
,,,55 - 64,973,2,7,8,2,586,11,180,- ,1
,,,>= 65,"1,857",2,15,7,6,"1,128",57,370,- ,- 
,,Monchique,,,,,,,,,,,
,,,Total,768,2,108,7,1,164,6,16,- ,19
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,23,- ,2,3,- ,2,- ,- ,- ,1
,,,35 - 44,74,- ,4,- ,- ,18,1,1,- ,- 
,,,45 - 54,109,1,8,1,1,22,1,2,- ,6
,,,55 - 64,221,1,36,- ,- ,33,1,2,- ,5
,,,>= 65,340,- ,58,3,- ,89,3,11,- ,7
,,Olhão,,,,,,,,,,,
,,,Total,"1,141",1,12,78,8,792,3,102,- ,- 
,,,15 - 24,1,- ,- ,- ,- ,1,- ,- ,- ,- 
,,,25 - 34,17,- ,- ,4,- ,10,- ,1,- ,- 
,,,35 - 44,65,- ,- ,14,- ,34,- ,5,- ,- 
,,,45 - 54,190,- ,3,20,2,125,- ,18,- ,- 
,,,55 - 64,321,1,2,20,1,222,- ,26,- ,- 
,,,>= 65,547,- ,7,20,5,400,3,52,- ,- 
,,Portimão,,,,,,,,,,,
,,,Total,551,2,11,45,1,274,6,52,- ,7
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,8,- ,- ,- ,- ,3,1,1,- ,- 
,,,35 - 44,43,- ,2,3,- ,16,- ,1,- ,1
,,,45 - 54,105,- ,2,15,- ,54,1,7,- ,3
,,,55 - 64,153,1,4,7,- ,76,1,14,- ,1
,,,>= 65,242,1,3,20,1,125,3,29,- ,2
,,São Brás de Alportel,,,,,,,,,,,
,,,Total,559,1,45,3,4,231,28,117,- ,2
,,,15 - 24,1,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,11,- ,1,1,- ,3,- ,2,- ,- 
,,,35 - 44,27,- ,2,- ,- ,16,- ,3,- ,- 
,,,45 - 54,63,- ,7,- ,1,28,3,8,- ,- 
,,,55 - 64,153,- ,14,2,- ,62,7,31,- ,- 
,,,>= 65,304,1,21,- ,2,122,18,73,- ,2
,,Silves,,,,,,,,,,,
,,,Total,"3,051",41,41,23,65,"2,005",29,286,1,17
,,,15 - 24,10,- ,- ,- ,- ,2,- ,2,- ,- 
,,,25 - 34,92,2,- ,4,2,55,- ,3,- ,1
,,,35 - 44,246,5,1,7,- ,148,1,11,1,3
,,,45 - 54,458,4,3,6,11,303,2,26,- ,- 
,,,55 - 64,772,9,17,5,18,498,8,67,- ,11
,,,>= 65,"1,473",21,20,1,34,999,18,177,- ,2
,,Tavira,,,,,,,,,,,
,,,Total,"2,130",14,49,27,36,969,20,335,- ,2
,,,15 - 24,3,- ,- ,- ,- ,1,- ,- ,- ,- 
,,,25 - 34,31,- ,- ,3,1,16,- ,1,- ,- 
,,,35 - 44,128,1,2,6,5,52,- ,16,- ,- 
,,,45 - 54,346,- ,8,9,7,173,1,49,- ,1
,,,55 - 64,576,3,8,7,11,255,3,95,- ,1
,,,>= 65,"1,046",10,31,2,12,472,16,174,- ,- 
,,Vila do Bispo,,,,,,,,,,,
,,,Total,167,35,2,18,4,12,- ,6,- ,12
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,4,1,- ,- ,- ,- ,- ,- ,- ,1
,,,35 - 44,14,1,- ,1,- ,- ,- ,- ,- ,3
,,,45 - 54,18,3,1,- ,- ,1,- ,- ,- ,1
,,,55 - 64,50,7,- ,5,- ,5,- ,- ,- ,6
,,,>= 65,81,23,1,12,4,6,- ,6,- ,1
,,Vila Real de Santo António,,,,,,,,,,,
,,,Total,311,- ,14,62,8,74,2,31,- ,- 
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,2,- ,- ,- ,- ,1,- ,- ,- ,- 
,,,35 - 44,13,- ,- ,3,- ,4,- ,1,- ,- 
,,,45 - 54,44,- ,3,9,1,4,1,1,- ,- 
,,,55 - 64,79,- ,4,16,2,21,1,8,- ,- 
,,,>= 65,172,- ,7,34,5,44,- ,21,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,
