"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Página 1)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 1/2
,,,Algarve,Algarve,Albufeira,Alcoutim,Aljezur,Castro Marim,Faro,Lagoa,Lagos
Explorações agrícolas,,expl. (nº),"18,971","18,971","1,163","1,037",718,923,"1,554",493,647
,,SAU (ha),"101,926","101,926","5,303","10,819","5,333","7,893","4,987","1,838","3,979"
,Sem SAU,expl. (nº),175,175,7,10,9,5,11,2,1
,> 0 a < 1,expl. (nº),"4,525","4,525",317,104,92,94,473,167,150
,,SAU (ha),"2,657","2,657",182,66,54,57,281,102,98
,1 a < 2,expl. (nº),"4,272","4,272",240,170,151,148,382,116,148
,,SAU (ha),"6,100","6,100",347,249,216,225,538,168,218
,2 a < 5,expl. (nº),"5,185","5,185",323,286,226,266,438,121,183
,,SAU (ha),"16,637","16,637","1,055",923,737,897,"1,384",382,605
,5 a < 10,expl. (nº),"2,679","2,679",168,240,124,219,165,54,79
,,SAU (ha),"18,593","18,593","1,154","1,678",887,"1,525","1,130",389,561
,10 a < 20,expl. (nº),"1,378","1,378",69,131,64,129,61,19,51
,,SAU (ha),"18,942","18,942",938,"1,843",872,"1,740",836,272,689
,20 a < 50,expl. (nº),570,570,33,63,37,47,23,11,25
,,SAU (ha),"17,110","17,110",953,"1,949","1,177","1,412",742,313,773
,50 a < 100,expl. (nº),121,121,2,18,8,11,1,3,6
,,SAU (ha),"8,447","8,447",... ,"1,388",549,860,... ,212,416
,>= 100,expl. (nº),66,66,4,15,7,4,- ,- ,4
,,SAU (ha),"13,452","13,452",532,"2,720",842,"1,179",- ,- ,624
Classes de dimensão económica (UDE),,expl. (nº),"18,938","18,938","1,157","1,036",712,921,"1,545",492,647
,,SAU (ha),"101,822","101,822","5,289","10,815","5,319","7,871","4,961","1,836","3,979"
,> 0 a < 2,expl. (nº),"8,211","8,211",540,570,280,387,636,196,198
,,SAU (ha),"14,376","14,376",675,"1,896",902,985,816,182,409
,2 a < 4,expl. (nº),"4,211","4,211",218,235,217,226,248,120,189
,,SAU (ha),"15,525","15,525",628,"1,952",886,"1,418",571,247,576
,4 a < 8,expl. (nº),"3,160","3,160",185,143,132,173,222,92,152
,,SAU (ha),"19,814","19,814",915,"2,469","1,173","1,679",738,423,845
,8 a < 16,expl. (nº),"1,838","1,838",117,57,53,81,197,47,78
,,SAU (ha),"16,775","16,775",870,"1,858","1,053","1,049",804,274,"1,030"
,16 a < 40,expl. (nº),"1,032","1,032",69,23,21,37,149,25,22
,,SAU (ha),"15,775","15,775",985,"1,555",784,"1,560",863,300,476
,40 a < 100,expl. (nº),367,367,21,8,7,12,65,11,7
,,SAU (ha),"11,758","11,758",581,"1,085",428,719,582,391,576
,> = 100,expl. (nº),119,119,7,- ,2,5,28,1,1
,,SAU (ha),"7,810","7,810",637,- ,... ,464,586,... ,... 
OTE,,expl. (nº),"18,971","18,971","1,163","1,037",718,923,"1,554",493,647
,,SAU (ha),"101,926","101,926","5,303","10,819","5,333","7,893","4,987","1,838","3,979"
Cereais plantas olea./proteaginosas,,expl. (nº),183,183,1,3,65,1,1,1,4
,,SAU (ha),"2,610","2,610",... ,165,636,... ,... ,... ,35
Culturas agrícolas diversas,,expl. (nº),613,613,11,11,215,3,16,25,15
,,SAU (ha),"2,782","2,782",29,53,"1,137",7,59,51,132
Horticultura,,expl. (nº),737,737,3,5,71,8,258,5,86
,,SAU (ha),"2,056","2,056",8,38,110,46,764,6,180
Viticultura,,expl. (nº),288,288,21,2,41,13,3,48,18
,,SAU (ha),"1,548","1,548",197,... ,165,97,14,130,139
Fruticultura,,expl. (nº),"9,847","9,847",900,406,21,413,926,248,141
,,SAU (ha),"43,540","43,540","3,786","2,813",74,"2,804","3,216",890,705
Olivicultura,,expl. (nº),231,231,7,28,- ,8,9,1,1
,,SAU (ha),598,598,5,63,- ,93,10,... ,... 
Culturas permanentes diversas,,expl. (nº),"2,515","2,515",103,240,7,248,162,81,48
,,SAU (ha),"12,089","12,089",605,"1,067",34,"1,490",416,375,390
Bovinos de leite,,expl. (nº),1,1,- ,- ,- ,- ,- ,- ,- 
,,SAU (ha),... ,... ,- ,- ,- ,- ,- ,- ,- 
Bovinos para gado/carne,,expl. (nº),122,122,1,1,27,3,2,- ,27
,,SAU (ha),"2,216","2,216",... ,... ,622,319,... ,- ,538
Bovinos para leite/gado/carne,,expl. (nº),8,8,- ,- ,- ,2,1,- ,- 
,,SAU (ha),100,100,- ,- ,- ,... ,... ,- ,- 
Ovinos/caprinos/out. herbívoros,,expl. (nº),570,570,15,86,15,46,22,13,23
,,SAU (ha),"7,965","7,965",74,"3,462",380,661,20,71,289
Granívoros,,expl. (nº),165,165,5,- ,8,1,6,5,4
,,SAU (ha),486,486,6,- ,86,... ,13,40,24
Policultura,,expl. (nº),"2,379","2,379",60,138,166,117,110,54,207
,,SAU (ha),"13,736","13,736",453,"1,254","1,023","1,171",390,148,880
Polipecuária-herbívoros,,expl. (nº),201,201,3,21,10,14,3,2,21
,,SAU (ha),"2,676","2,676",15,493,149,238,8,... ,170
Polipecuária-granívoros,,expl. (nº),121,121,1,11,2,3,3,2,6
,,SAU (ha),"1,936","1,936",... ,302,... ,16,2,... ,23
Agricultura geral e herbívoros,,expl. (nº),164,164,1,11,38,1,- ,1,4
,,SAU (ha),"3,311","3,311",... ,361,831,... ,- ,... ,147
Culturas diversas e gado,,expl. (nº),793,793,25,73,26,40,23,6,42
,,SAU (ha),"4,170","4,170",59,724,51,781,46,8,334
Não classificadas,,expl. (nº),33,33,6,1,6,2,9,1,- 
,,SAU (ha),105,105,14,... ,15,... ,26,... ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,
,,
,,
,,
