Explorações com rega e drenagem (Península de Setúbal),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999,,,,
,,,,,,,,,,,,,,Pág.3/5,,,,
,,,,LISBOA E VALE DO TEJO,Península de Setúbal,Alcochete,Almada,Barreiro,Moita,Montijo,Palmela,Seixal,Sesimbra,Setúbal,,,,
Superfície irrigável,,,expl (nº),  30 777 ,  4 629 ,   269 ,   123 ,   91 ,   333 ,  1 061 ,  2 043 ,   70 ,   197 ,   442 ,,,,
,,,área (ha),  154 518 ,  21 927 ,  1 618 ,   333 ,   133 ,  1 818 ,  6 169 ,  9 899 ,   106 ,   581 ,  1 270 ,,,,
Sistema de rega ,,,,,,,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),  1 748 ,   138 ,   7 ,   6 ,   1 ,   8 ,   35 ,   33 ,- ,   41 ,   7 ,,,,
,Colectivo privado,,expl (nº),  1 586 ,   270 ,   41 ,- ,   1 ,   6 ,   79 ,   125 ,- ,   6 ,   12 ,,,,
,Individual,,expl (nº),  28 849 ,  4 333 ,   233 ,   118 ,   90 ,   321 ,   995 ,  1 919 ,   70 ,   160 ,   427 ,,,,
Origem das águas de rega,,,,,,,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),  27 485 ,  4 481 ,   259 ,   115 ,   86 ,   322 ,  1 037 ,  2 020 ,   64 ,   148 ,   430 ,,,,
,Albufeira (barragem),,expl (nº),   534 ,   25 ,   1 ,- ,- ,   2 ,   8 ,   6 ,- ,   2 ,   6 ,,,,
,Açude,,expl (nº),   603 ,   14 ,- ,- ,- ,- ,   8 ,   2 ,   2 ,   1 ,   1 ,,,,
,Charca,,expl (nº),   948 ,   97 ,   9 ,- ,   6 ,   23 ,   15 ,   16 ,   5 ,   13 ,   10 ,,,,
,Curso de água natural,,expl (nº),  4 322 ,   97 ,   5 ,- ,- ,- ,   23 ,   8 ,   1 ,   58 ,   2 ,,,,
,Outra,,expl (nº),   776 ,   30 ,- ,   9 ,   1 ,   2 ,   6 ,   9 ,   2 ,   1 ,- ,,,,
Método de colocação de água no terreno,,,,,,,,,,,,,,,,,,
,Sem elevação,,expl (nº),  2 436 ,   108 ,   2 ,   9 ,   2 ,   11 ,   12 ,   57 ,   3 ,   5 ,   7 ,,,,
,Com elevação,,expl (nº),  29 513 ,  4 535 ,   267 ,   114 ,   89 ,   324 ,  1 051 ,  1 993 ,   68 ,   194 ,   435 ,,,,
,,Motor electrico,expl (nº),  19 303 ,  4 246 ,   240 ,   112 ,   84 ,   304 ,  1 013 ,  1 925 ,   63 ,   93 ,   412 ,,,,
,,Motor a carburante,expl (nº),  13 462 ,   400 ,   36 ,- ,   7 ,   26 ,   75 ,   98 ,   10 ,   108 ,   40 ,,,,
,,Outros meios,expl (nº),   673 ,   27 ,   5 ,   2 ,- ,   1 ,   4 ,   12 ,   1 ,   1 ,   1 ,,,,
Superfície drenada,,,expl (nº),  1 459 ,   60 ,   16 ,- ,- ,   1 ,   9 ,   24 ,   5 ,   1 ,   4 ,,,,
,,,área (ha),  16 263 ,   637 ,   127 ,- ,- ,... ,   65 ,   362 ,   32 ,... ,   50 ,,,,
Superfície com encharcamento,,,expl (nº),  2 729 ,  1 185 ,   68 ,- ,   1 ,   14 ,   363 ,   691 ,   8 ,   8 ,   32 ,,,,
,,,área (ha),  6 557 ,  2 316 ,   204 ,- ,... ,   11 ,   876 ,  1 182 ,   4 ,   4 ,   34 ,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
