Explorações segundo o número de caprinos (Médio Tejo e Lezíria do Tejo),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.2/2
REGIÃO AGRÁRIA,,,,Total,Classes do número de animais,,,,,
,Nut III,,,,,,,,,
,,Concelho,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 499,> = 500
,Médio Tejo,,expl (nº),"3,182","2,902",178,64,21,17,- 
,,,efect (nº),"16,515","9,012","2,206","1,743","1,388","2,166",- 
,,Abrantes,expl (nº),425,389,25,7,1,3,- 
,,,efect (nº),"2,044","1,121",306,201,... ,361,- 
,,Alcanena,expl (nº),137,103,9,11,7,7,- 
,,,efect (nº),"2,121",345,112,294,479,891,- 
,,Constância,expl (nº),12,9,2,- ,- ,1,- 
,,,efect (nº),214,33,... ,- ,- ,... ,- 
,,Entroncamento,expl (nº),6,6,- ,- ,- ,- ,- 
,,,efect (nº),22,22,- ,- ,- ,- ,- 
,,Ferreira do Zêzere,expl (nº),528,494,26,7,1,- ,- 
,,,efect (nº),"2,061","1,456",322,200,... ,- ,- 
,,Ourém,expl (nº),"1,037",957,61,12,6,1,- 
,,,efect (nº),"4,763","3,145",754,352,372,... ,- 
,,Sardoal,expl (nº),213,201,12,- ,- ,- ,- 
,,,efect (nº),685,537,148,- ,- ,- ,- 
,,Tomar,expl (nº),424,390,23,8,- ,3,- 
,,,efect (nº),"2,007","1,142",289,202,- ,374,- 
,,Torres Novas,expl (nº),390,345,19,19,5,2,- 
,,,efect (nº),"2,508","1,184",243,494,347,... ,- 
,,Vila Nova da Barquinha,expl (nº),10,8,1,- ,1,- ,- 
,,,efect (nº),90,27,... ,- ,... ,- ,- 
,Lezíria do Tejo,,expl (nº),933,726,88,64,28,26,1
,,,efect (nº),"11,921","2,246","1,098","1,847","2,103","3,947",... 
,,Almeirim,expl (nº),21,20,1,- ,- ,- ,- 
,,,efect (nº),63,53,... ,- ,- ,- ,- 
,,Alpiarça,expl (nº),4,4,- ,- ,- ,- ,- 
,,,efect (nº),14,14,- ,- ,- ,- ,- 
,,Azambuja,expl (nº),53,32,5,6,4,6,- 
,,,efect (nº),"1,369",96,59,180,292,742,- 
,,Benavente,expl (nº),15,10,4,1,- ,- ,- 
,,,efect (nº),111,36,55,... ,- ,- ,- 
,,Cartaxo,expl (nº),20,17,2,1,- ,- ,- 
,,,efect (nº),94,45,... ,... ,- ,- ,- 
,,Chamusca,expl (nº),37,31,5,- ,- ,1,- 
,,,efect (nº),304,94,60,- ,- ,... ,- 
,,Coruche,expl (nº),130,107,11,5,4,2,1
,,,efect (nº),"1,881",357,133,152,283,... ,... 
,,Golegã,expl (nº),3,2,- ,- ,1,- ,- 
,,,efect (nº),77,... ,- ,- ,... ,- ,- 
,,Rio Maior,expl (nº),251,181,25,30,10,5,- 
,,,efect (nº),"3,362",598,328,896,811,729,- 
,,Salvaterra de Magos,expl (nº),27,21,3,3,- ,- ,- 
,,,efect (nº),171,58,32,81,- ,- ,- 
,,Santarém,expl (nº),372,301,32,18,9,12,- 
,,,efect (nº),"4,475",884,394,496,651,"2,050",- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,
,,,,,,,,,,
