Principais características da população familiar - Homem (Grande Lisboa),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.5/15
,,,Grande Lisboa,Amadora,Cascais,Loures,Odivelas,Oeiras,Sintra,Vila Franca de Xira
,,,nº de indivíduos,,,,,,,
Homem,,,,,,,,,,
População familiar,,,  4 989 ,   25 ,   98 ,  1 286 ,   101 ,   34 ,  2 281 ,  1 164 
Nível de instrução,,,,,,,,,,
,Não sabe ler nem escrever,,   734 ,   9 ,   15 ,   200 ,   21 ,   5 ,   356 ,   128 
,Sabe ler e escrever,,   459 ,   3 ,   12 ,   124 ,   11 ,- ,   186 ,   123 
,Básico - 1º ciclo,,  2 221 ,   7 ,   44 ,   585 ,   40 ,   18 ,  1 046 ,   481 
,Básico - 2º ciclo,,   578 ,   3 ,   11 ,   150 ,   6 ,   2 ,   256 ,   150 
,Básico - 3º ciclo,,   475 ,   1 ,   10 ,   116 ,   12 ,   4 ,   202 ,   130 
,Secundário agrícola,,   29 ,- ,- ,   10 ,- ,- ,   11 ,   8 
,Secundário não agrícola,,   301 ,   1 ,- ,   62 ,   7 ,- ,   147 ,   84 
,Politécnico / Superior agrícola,,   28 ,- ,   1 ,   6 ,- ,- ,   7 ,   14 
,Politécnico / Superior não agrícola,,   164 ,   1 ,   5 ,   33 ,   4 ,   5 ,   70 ,   46 
Formação profissional agrícola,,,,,,,,,,
,Exclusivamente prática,,  4 120 ,   18 ,   94 ,  1 010 ,   81 ,   32 ,  1 889 ,   996 
,Curta duração,,   56 ,   1 ,- ,   8 ,   3 ,- ,   37 ,   7 
,Longa duração,,   116 ,- ,- ,   32 ,   1 ,- ,   67 ,   16 
,Longa e curta duração,,   58 ,- ,   3 ,   17 ,- ,   2 ,   32 ,   4 
,Completa,,   57 ,- ,   1 ,   16 ,- ,- ,   18 ,   22 
Tempo de actividade agrícola ,,,,,,,,,,
,Sem actividade,,   621 ,   6 ,- ,   221 ,   19 ,- ,   254 ,   121 
,Tempo parcial,,  3 636 ,   12 ,   66 ,   896 ,   60 ,   30 ,  1 575 ,   997 
,> 0 - < 25%,,  1 325 ,   2 ,   19 ,   352 ,   29 ,   11 ,   559 ,   353 
,25 - < 50%,,  1 023 ,   4 ,   11 ,   171 ,   12 ,   6 ,   523 ,   296 
,50 - < 75%,,   495 ,   2 ,   9 ,   82 ,   9 ,   6 ,   252 ,   135 
,75 - < 100%,,   793 ,   4 ,   27 ,   291 ,   10 ,   7 ,   241 ,   213 
,Tempo completo,,   732 ,   7 ,   32 ,   169 ,   22 ,   4 ,   452 ,   46 
Actividades remuneradas exterior à exploração,,,,,,,,,,
,Principal,,  2 053 ,   3 ,   36 ,   468 ,   40 ,   16 ,   932 ,   558 
,,Sector primário,   173 ,   1 ,- ,   52 ,   1 ,   1 ,   65 ,   53 
,,Sector secundário,   943 ,   1 ,   5 ,   243 ,   5 ,   5 ,   451 ,   233 
,,Sector terciário,   937 ,   1 ,   31 ,   173 ,   34 ,   10 ,   416 ,   272 
,Secundária,,   32 ,- ,- ,   9 ,   1 ,- ,   16 ,   6 
,,Sector primário,   10 ,- ,- ,- ,   1 ,- ,   5 ,   4 
,,Sector secundário,   12 ,- ,- ,   4 ,- ,- ,   7 ,   1 
,,Sector terciário,   10 ,- ,- ,   5 ,- ,- ,   4 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,
,Patrão/empregador,,   324 ,- ,   11 ,   84 ,   5 ,   3 ,   150 ,   71 
,Trabalhador por conta própria,,   420 ,   1 ,   12 ,   67 ,   5 ,   3 ,   232 ,   100 
,Trabalhador por conta de outrem,,  1 304 ,   2 ,   13 ,   315 ,   29 ,   9 ,   546 ,   390 
,Trabalhador familiar remunerado,,   22 ,- ,- ,   7 ,   1 ,- ,   12 ,   2 
,Outra situação,,   15 ,- ,- ,   4 ,   1 ,   1 ,   8 ,   1 
Dirigente na população familiar,,,  3 004 ,   16 ,   80 ,   790 ,   57 ,   28 ,  1 427 ,   606 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
