Principais características do produtor singular - Mulher (Médio Tejo),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.12/15
,,,Médio Tejo,Abrantes,Alcanena,Constância,Entroncamento,Ferreira do Zêzere,Ourém,Sardoal,Tomar,Torres Novas,Vila Nova da Barquinha
,,,nº de indivíduos,,,,,,,,,,
Mulher,,,,,,,,,,,,,
Produtor singular,,,  2 592 ,   508 ,   114 ,   23 ,   7 ,   302 ,   632 ,   188 ,   497 ,   305 ,   16 
,Autónomo,,  2 542 ,   498 ,   113 ,   22 ,   7 ,   294 ,   623 ,   188 ,   488 ,   293 ,   16 
,Empresário,,   50 ,   10 ,   1 ,   1 ,- ,   8 ,   9 ,- ,   9 ,   12 ,- 
Nível de instrução,,,,,,,,,,,,,
,Não sabe ler nem escrever,,   431 ,   54 ,   18 ,   4 ,- ,   57 ,   143 ,   35 ,   78 ,   39 ,   3 
,Sabe ler e escrever,,   655 ,   117 ,   33 ,   9 ,   2 ,   86 ,   169 ,   40 ,   126 ,   69 ,   4 
,Básico - 1º ciclo,,  1 090 ,   249 ,   41 ,   10 ,   3 ,   119 ,   261 ,   79 ,   201 ,   125 ,   2 
,Básico - 2º ciclo,,   145 ,   24 ,   7 ,- ,- ,   18 ,   31 ,   17 ,   28 ,   17 ,   3 
,Básico - 3º ciclo,,   103 ,   15 ,   6 ,- ,   1 ,   8 ,   14 ,   8 ,   27 ,   22 ,   2 
,Secundário agrícola,,   6 ,   1 ,- ,- ,- ,   2 ,   1 ,   1 ,   1 ,- ,- 
,Secundário não agrícola,,   73 ,   22 ,   5 ,- ,- ,   9 ,   6 ,   5 ,   14 ,   10 ,   2 
,Politécnico / Superior agrícola,,   3 ,- ,- ,- ,- ,- ,- ,- ,   1 ,   2 ,- 
,Politécnico / Superior não agrícola,,   86 ,   26 ,   4 ,- ,   1 ,   3 ,   7 ,   3 ,   21 ,   21 ,- 
Formação profissional agrícola,,,,,,,,,,,,,
,Exclusivamente prática,,  2 506 ,   495 ,   110 ,   23 ,   7 ,   292 ,   614 ,   179 ,   483 ,   291 ,   12 
,Curta duração,,   22 ,   2 ,- ,- ,- ,   2 ,   6 ,   7 ,   2 ,   3 ,- 
,Longa duração,,   28 ,   4 ,   3 ,- ,- ,   2 ,   8 ,   1 ,   4 ,   3 ,   3 
,Longa e curta duração,,   27 ,   6 ,   1 ,- ,- ,   4 ,   3 ,- ,   6 ,   6 ,   1 
,Completa,,   9 ,   1 ,- ,- ,- ,   2 ,   1 ,   1 ,   2 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,
,Tempo parcial,,  2 482 ,   468 ,   108 ,   23 ,   7 ,   292 ,   610 ,   188 ,   476 ,   294 ,   16 
,,> 0 - < 25%,  1 216 ,   234 ,   58 ,   15 ,   2 ,   143 ,   254 ,   57 ,   238 ,   209 ,   6 
,,25 - < 50%,   527 ,   95 ,   34 ,   3 ,   3 ,   54 ,   121 ,   49 ,   106 ,   59 ,   3 
,,50 - < 75%,   393 ,   62 ,   7 ,   4 ,   1 ,   50 ,   143 ,   55 ,   49 ,   19 ,   3 
,,75 - < 100%,   346 ,   77 ,   9 ,   1 ,   1 ,   45 ,   92 ,   27 ,   83 ,   7 ,   4 
,Tempo completo,,   110 ,   40 ,   6 ,- ,- ,   10 ,   22 ,- ,   21 ,   11 ,- 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,
,Principal,,   513 ,   111 ,   24 ,   4 ,   2 ,   48 ,   100 ,   38 ,   98 ,   86 ,   2 
,,Sector primário,   47 ,   18 ,- ,- ,- ,   2 ,   7 ,   5 ,   8 ,   6 ,   1 
,,Sector secundário,   89 ,   12 ,   8 ,   1 ,- ,   3 ,   20 ,   8 ,   15 ,   22 ,- 
,,Sector terciário,   377 ,   81 ,   16 ,   3 ,   2 ,   43 ,   73 ,   25 ,   75 ,   58 ,   1 
,Secúndária,,   25 ,   1 ,   4 ,   1 ,- ,   3 ,   3 ,   11 ,   2 ,- ,- 
,,Sector primário,   9 ,   1 ,- ,- ,- ,   2 ,   1 ,   3 ,   2 ,- ,- 
,,Sector secundário,   9 ,- ,   2 ,- ,- ,- ,   1 ,   6 ,- ,- ,- 
,,Sector terciário,   7 ,- ,   2 ,   1 ,- ,   1 ,   1 ,   2 ,- ,- ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,
,Patrão/empregador,,   38 ,   4 ,   2 ,   1 ,   1 ,   2 ,   10 ,   4 ,   6 ,   8 ,- 
,Trabalhador por conta própria,,   120 ,   32 ,   6 ,   2 ,- ,   7 ,   29 ,   11 ,   12 ,   20 ,   1 
,Trabalhador por conta de outrem,,   341 ,   59 ,   20 ,   1 ,   1 ,   41 ,   64 ,   27 ,   69 ,   58 ,   1 
,Trabalhador familiar remunerado,,   2 ,   1 ,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,Outra situação,,   37 ,   16 ,- ,   1 ,- ,- ,- ,   7 ,   13 ,- ,- 
Produtor singular dirigente,,,  2 537 ,   505 ,   114 ,   23 ,   7 ,   299 ,   621 ,   182 ,   485 ,   286 ,   15 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo."
