Actividade renumerada exterior à exploração da população agrícola familiar (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.1/5
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,,nº de indivíduos,,,,,,,,,,,,,,
População agrícola familiar,,,  170 116 ,  70 745 ,  9 627 ,  8 610 ,  2 091 ,  3 380 ,  4 976 ,  7 304 ,  6 118 ,  7 590 ,   987 ,  3 168 ,  2 458 ,  1 977 ,  12 459 
,Actividade exterior - principal,,  56 025 ,  24 173 ,  3 306 ,  3 777 ,   808 ,   980 ,  1 765 ,  2 377 ,  1 723 ,  2 494 ,   258 ,   841 ,   593 ,   731 ,  4 520 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  5 978 ,  2 762 ,   256 ,   389 ,   88 ,   197 ,   229 ,   214 ,   361 ,   201 ,   23 ,   121 ,   83 ,   91 ,   509 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   542 ,   144 ,   15 ,   7 ,   1 ,   2 ,   17 ,   19 ,   17 ,   18 ,   5 ,   3 ,   7 ,- ,   33 
,,"Pesca, aquacultura e activ. seviços relacionados",   205 ,   115 ,   5 ,   4 ,   1 ,   3 ,   1 ,   15 ,   31 ,   5 ,   1 ,   13 ,   25 ,- ,   11 
,,Ind. alimentares das bebidas e do tabaco,  1 334 ,   537 ,   45 ,   192 ,   30 ,   7 ,   28 ,   41 ,   48 ,   35 ,- ,   6 ,   15 ,   20 ,   70 
,,Outras indústrias,  10 475 ,  4 489 ,  1 129 ,   669 ,   128 ,   116 ,   231 ,   622 ,   204 ,   363 ,   82 ,   128 ,   40 ,   129 ,   648 
,,"Prod. e distribuição de  electricidade, gás e água",   803 ,   304 ,   31 ,   76 ,   9 ,   5 ,   14 ,   21 ,   17 ,   22 ,   3 ,   6 ,   12 ,   8 ,   80 
,,Construção,  8 039 ,  3 694 ,   418 ,   560 ,   83 ,   112 ,   264 ,   387 ,   342 ,   372 ,   25 ,   94 ,   137 ,   90 ,   810 
,,Comércio por grosso e retalho,  7 781 ,  3 529 ,   464 ,   422 ,   157 ,   142 ,   280 ,   320 ,   208 ,   468 ,   22 ,   129 ,   68 ,   131 ,   718 
,,Alojamento e restauração,  1 279 ,   491 ,   56 ,   29 ,   24 ,   28 ,   10 ,   97 ,   27 ,   65 ,   6 ,   26 ,   37 ,   21 ,   65 
,,Administração pública,  3 151 ,  1 126 ,   111 ,   169 ,   33 ,   48 ,   163 ,   118 ,   54 ,   93 ,   11 ,   21 ,   67 ,   24 ,   214 
,,Educação,  1 827 ,   610 ,   66 ,   99 ,   18 ,   48 ,   41 ,   37 ,   56 ,   32 ,   9 ,   26 ,   24 ,   11 ,   143 
,,Saúde e acção social,  1 420 ,   542 ,   63 ,   74 ,   19 ,   21 ,   41 ,   45 ,   41 ,   56 ,   5 ,   19 ,   12 ,   10 ,   136 
,,Outras,  13 191 ,  5 830 ,   647 ,  1 087 ,   217 ,   251 ,   446 ,   441 ,   317 ,   764 ,   66 ,   249 ,   66 ,   196 ,  1 083 
,Actividade exterior - secundária,,  2 031 ,  1 189 ,   189 ,   119 ,   1 ,   143 ,   119 ,   134 ,   104 ,   27 ,   5 ,   132 ,   58 ,- ,   158 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  1 064 ,   639 ,   88 ,   82 ,   1 ,   90 ,   72 ,   67 ,   76 ,   6 ,   1 ,   80 ,   15 ,- ,   61 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   25 ,   10 ,- ,   1 ,- ,   1 ,   3 ,   2 ,   1 ,- ,- ,   1 ,- ,- ,   1 
,,"Pesca, aquacultura e activ. seviços relacionados",   18 ,   17 ,- ,- ,- ,- ,- ,- ,   2 ,- ,- ,   12 ,   3 ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,   19 ,   9 ,   1 ,   4 ,- ,   1 ,- ,- ,   1 ,   1 ,- ,- ,- ,- ,   1 
,,Outras indústrias,   88 ,   37 ,   12 ,   2 ,- ,   1 ,   7 ,   4 ,   2 ,   1 ,- ,   3 ,- ,- ,   5 
,,"Prod. e distribuição de  electricidade, gás e água",   3 ,   1 ,- ,- ,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
