Produtor singular segundo a dimensão económica e as classes de idade,,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,Pág.3/6
REGIÃO AGRÁRIA,,,,Total,Classes de dimensão económica (UDE),,,,,,
,Nut III,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Concelho,,,nº de indíviduos,,,,,,
,,Oeiras,,,,,,,,,
,,,Total,   25 ,   5 ,   7 ,   5 ,   4 ,   2 ,   1 ,   1 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,   2 ,- ,   2 ,- ,- ,- ,- ,- 
,,,45 - 54,   2 ,- ,   1 ,- ,- ,- ,   1 ,- 
,,,55 - 64,   11 ,   2 ,   1 ,   3 ,   3 ,   1 ,- ,   1 
,,,>= 65,   10 ,   3 ,   3 ,   2 ,   1 ,   1 ,- ,- 
,,Sintra,,,,,,,,,
,,,Total,  1 606 ,   536 ,   360 ,   282 ,   201 ,   179 ,   42 ,   6 
,,,15 - 24,   7 ,   3 ,- ,   3 ,- ,   1 ,- ,- 
,,,25 - 34,   65 ,   8 ,   7 ,   9 ,   9 ,   28 ,   4 ,- 
,,,35 - 44,   141 ,   36 ,   29 ,   17 ,   20 ,   26 ,   12 ,   1 
,,,45 - 54,   264 ,   97 ,   49 ,   33 ,   36 ,   37 ,   8 ,   4 
,,,55 - 64,   453 ,   153 ,   97 ,   88 ,   58 ,   47 ,   9 ,   1 
,,,>= 65,   676 ,   239 ,   178 ,   132 ,   78 ,   40 ,   9 ,- 
,,Vila Franca de Xira,,,,,,,,,
,,,Total,   745 ,   308 ,   154 ,   120 ,   71 ,   49 ,   28 ,   15 
,,,15 - 24,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,,25 - 34,   26 ,   5 ,   4 ,   4 ,- ,   4 ,   3 ,   6 
,,,35 - 44,   69 ,   23 ,   9 ,   6 ,   6 ,   10 ,   10 ,   5 
,,,45 - 54,   120 ,   44 ,   32 ,   16 ,   11 ,   8 ,   8 ,   1 
,,,55 - 64,   227 ,   91 ,   48 ,   47 ,   23 ,   16 ,   1 ,   1 
,,,>= 65,   302 ,   145 ,   61 ,   47 ,   31 ,   10 ,   6 ,   2 
,Península de Setúbal,,,,,,,,,,
,,,Total,  5 551 ,  1 643 ,  1 126 ,  1 063 ,   778 ,   593 ,   235 ,   113 
,,,15 - 24,   33 ,   10 ,   6 ,   6 ,   6 ,   2 ,   1 ,   2 
,,,25 - 34,   184 ,   46 ,   23 ,   29 ,   24 ,   35 ,   24 ,   3 
,,,35 - 44,   511 ,   131 ,   84 ,   72 ,   75 ,   84 ,   44 ,   21 
,,,45 - 54,  1 082 ,   303 ,   201 ,   200 ,   150 ,   147 ,   54 ,   27 
,,,55 - 64,  1 684 ,   468 ,   338 ,   339 ,   265 ,   178 ,   59 ,   37 
,,,>= 65,  2 057 ,   685 ,   474 ,   417 ,   258 ,   147 ,   53 ,   23 
,,Alcochete,,,,,,,,,
,,,Total,   260 ,   26 ,   53 ,   73 ,   42 ,   44 ,   11 ,   11 
,,,15 - 24,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,,25 - 34,   6 ,   1 ,   1 ,- ,   1 ,   2 ,   1 ,- 
,,,35 - 44,   28 ,   2 ,   1 ,   6 ,   3 ,   10 ,   2 ,   4 
,,,45 - 54,   47 ,   4 ,   11 ,   12 ,   7 ,   9 ,   1 ,   3 
,,,55 - 64,   80 ,   4 ,   15 ,   29 ,   16 ,   10 ,   4 ,   2 
,,,>= 65,   98 ,   15 ,   25 ,   26 ,   15 ,   12 ,   3 ,   2 
,,Almada,,,,,,,,,
,,,Total,   170 ,   44 ,   26 ,   23 ,   32 ,   37 ,   7 ,   1 
,,,15 - 24,   1 ,- ,- ,   1 ,- ,- ,- ,- 
,,,25 - 34,   4 ,- ,   2 ,- ,   1 ,- ,   1 ,- 
,,,35 - 44,   19 ,   3 ,   4 ,   1 ,   5 ,   5 ,   1 ,- 
,,,45 - 54,   25 ,   4 ,   3 ,   2 ,   7 ,   8 ,- ,   1 
,,,55 - 64,   47 ,   14 ,   6 ,   6 ,   9 ,   10 ,   2 ,- 
,,,>= 65,   74 ,   23 ,   11 ,   13 ,   10 ,   14 ,   3 ,- 
,,Barreiro,,,,,,,,,
,,,Total,   101 ,   50 ,   22 ,   15 ,   5 ,   8 ,   1 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,,35 - 44,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,,45 - 54,   11 ,   7 ,   1 ,   1 ,- ,   2 ,- ,- 
,,,55 - 64,   33 ,   17 ,   5 ,   6 ,   2 ,   2 ,   1 ,- 
,,,>= 65,   55 ,   25 ,   16 ,   8 ,   3 ,   3 ,- ,- 
,,Moita,,,,,,,,,
,,,Total,   348 ,   100 ,   76 ,   85 ,   42 ,   20 ,   11 ,   14 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,   5 ,   1 ,- ,   1 ,   1 ,   1 ,   1 ,- 
,,,35 - 44,   31 ,   10 ,   3 ,   5 ,   4 ,   2 ,   4 ,   3 
,,,45 - 54,   57 ,   13 ,   12 ,   18 ,   8 ,   2 ,   2 ,   2 
,,,55 - 64,   101 ,   30 ,   18 ,   24 ,   16 ,   8 ,   1 ,   4 
,,,>= 65,   154 ,   46 ,   43 ,   37 ,   13 ,   7 ,   3 ,   5 
,,Montijo,,,,,,,,,
,,,Total,  1 082 ,   310 ,   195 ,   156 ,   135 ,   143 ,   99 ,   44 
,,,15 - 24,   4 ,- ,   1 ,- ,- ,   1 ,   1 ,   1 
,,,25 - 34,   37 ,   5 ,   5 ,   6 ,   2 ,   5 ,   11 ,   3 
,,,35 - 44,   108 ,   17 ,   16 ,   11 ,   18 ,   20 ,   19 ,   7 
,,,45 - 54,   251 ,   61 ,   38 ,   35 ,   28 ,   50 ,   28 ,   11 
,,,55 - 64,   303 ,   88 ,   53 ,   45 ,   43 ,   38 ,   21 ,   15 
,,,>= 65,   379 ,   139 ,   82 ,   59 ,   44 ,   29 ,   19 ,   7 
,,Palmela,,,,,,,,,
,,,Total,  2 599 ,   784 ,   538 ,   501 ,   371 ,   274 ,   93 ,   38 
,,,15 - 24,   24 ,   8 ,   5 ,   4 ,   6 ,- ,- ,   1 
,,,25 - 34,   99 ,   27 ,   10 ,   19 ,   14 ,   19 ,   10 ,- 
,,,35 - 44,   253 ,   74 ,   47 ,   35 ,   34 ,   40 ,   17 ,   6 
,,,45 - 54,   513 ,   150 ,   93 ,   92 ,   82 ,   64 ,   22 ,   10 
,,,55 - 64,   826 ,   222 ,   174 ,   170 ,   135 ,   87 ,   25 ,   13 
,,,>= 65,   884 ,   303 ,   209 ,   181 ,   100 ,   64 ,   19 ,   8 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
