Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.2/12
REGIÃO AGRÁRIA,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
LISBOA E VALE DO TEJO,,,,,,,,,,,,
,,,Total,   44 ,  2 229 ,  1 726 ,  8 590 ,   477 ,   561 ,   390 ,  2 127 ,   625 
,,,15 - 24,- ,   30 ,   7 ,   28 ,   1 ,   6 ,   3 ,   8 ,   10 
,,,25 - 34,   2 ,   136 ,   72 ,   252 ,   13 ,   19 ,   22 ,   57 ,   27 
,,,35 - 44,   6 ,   267 ,   290 ,   788 ,   58 ,   70 ,   51 ,   206 ,   80 
,,,45 - 54,   10 ,   426 ,   533 ,  1 550 ,   90 ,   138 ,   79 ,   473 ,   132 
,,,55 - 64,   13 ,   642 ,   513 ,  2 715 ,   154 ,   190 ,   102 ,   638 ,   148 
,,,>= 65,   13 ,   728 ,   311 ,  3 257 ,   161 ,   138 ,   133 ,   745 ,   228 
,Oeste,,,,,,,,,,,
,,,Total,   20 ,   655 ,   827 ,  3 767 ,   155 ,   252 ,   169 ,   608 ,   69 
,,,15 - 24,- ,   8 ,   3 ,   17 ,- ,   1 ,   2 ,   2 ,   4 
,,,25 - 34,- ,   43 ,   29 ,   124 ,   6 ,   9 ,   9 ,   11 ,   7 
,,,35 - 44,   2 ,   89 ,   142 ,   392 ,   21 ,   38 ,   20 ,   65 ,   16 
,,,45 - 54,   6 ,   129 ,   270 ,   691 ,   28 ,   56 ,   37 ,   138 ,   9 
,,,55 - 64,   4 ,   191 ,   250 ,  1 233 ,   50 ,   83 ,   53 ,   189 ,   17 
,,,>= 65,   8 ,   195 ,   133 ,  1 310 ,   50 ,   65 ,   48 ,   203 ,   16 
,,Alcobaça,,,,,,,,,,
,,,Total,   4 ,   86 ,   442 ,   486 ,   40 ,   107 ,   27 ,   162 ,   8 
,,,15 - 24,- ,- ,- ,- ,- ,- ,   1 ,- ,- 
,,,25 - 34,- ,   6 ,   12 ,   12 ,- ,   2 ,   3 ,   1 ,   3 
,,,35 - 44,   1 ,   14 ,   75 ,   29 ,   6 ,   16 ,- ,   14 ,   1 
,,,45 - 54,   1 ,   19 ,   147 ,   93 ,   6 ,   23 ,   5 ,   43 ,   2 
,,,55 - 64,- ,   20 ,   148 ,   170 ,   18 ,   38 ,   7 ,   47 ,   2 
,,,>= 65,   2 ,   27 ,   60 ,   182 ,   10 ,   28 ,   11 ,   57 ,- 
,,Alenquer,,,,,,,,,,
,,,Total,- ,   37 ,   8 ,   305 ,   14 ,   10 ,   7 ,   60 ,   9 
,,,15 - 24,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   1 ,   1 ,   16 ,- ,- ,   1 ,- ,- 
,,,35 - 44,- ,   6 ,   2 ,   31 ,   4 ,   2 ,   1 ,   5 ,   2 
,,,45 - 54,- ,   9 ,   3 ,   48 ,   4 ,   2 ,   1 ,   17 ,   3 
,,,55 - 64,- ,   11 ,   1 ,   104 ,   2 ,   3 ,   3 ,   20 ,   1 
,,,>= 65,- ,   10 ,   1 ,   105 ,   4 ,   3 ,   1 ,   18 ,   3 
,,Arruda dos Vinhos,,,,,,,,,,
,,,Total,- ,   26 ,   4 ,   99 ,   1 ,   4 ,   7 ,   26 ,   3 
,,,15 - 24,- ,- ,- ,   1 ,- ,   1 ,- ,- ,- 
,,,25 - 34,- ,   2 ,   1 ,   1 ,- ,- ,- ,- ,   1 
,,,35 - 44,- ,   3 ,- ,   6 ,- ,- ,   2 ,   2 ,- 
,,,45 - 54,- ,   5 ,   2 ,   23 ,- ,   1 ,   2 ,   4 ,- 
,,,55 - 64,- ,   7 ,- ,   26 ,   1 ,   2 ,   1 ,   9 ,- 
,,,>= 65,- ,   9 ,   1 ,   42 ,- ,- ,   2 ,   11 ,   2 
,,Bombarral,,,,,,,,,,
,,,Total,- ,   10 ,   11 ,   70 ,   1 ,   1 ,- ,   8 ,   1 
,,,15 - 24,- ,- ,- ,   2 ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,   4 ,- ,- ,- ,- ,- 
,,,35 - 44,- ,   3 ,   1 ,   11 ,- ,- ,- ,   2 ,- 
,,,45 - 54,- ,   2 ,   6 ,   11 ,- ,   1 ,- ,   4 ,- 
,,,55 - 64,- ,   3 ,   3 ,   18 ,   1 ,- ,- ,   1 ,   1 
,,,>= 65,- ,   2 ,   1 ,   24 ,- ,- ,- ,   1 ,- 
,,Cadaval,,,,,,,,,,
,,,Total,- ,   30 ,   30 ,   80 ,   5 ,   10 ,   4 ,   42 ,   5 
,,,15 - 24,- ,- ,   1 ,- ,- ,- ,- ,   1 ,- 
,,,25 - 34,- ,   4 ,   2 ,   4 ,- ,   1 ,- ,- ,- 
,,,35 - 44,- ,   2 ,   6 ,   10 ,   2 ,   1 ,- ,   5 ,   1 
,,,45 - 54,- ,   10 ,   11 ,   12 ,   1 ,   4 ,   2 ,   7 ,   1 
,,,55 - 64,- ,   8 ,   5 ,   24 ,- ,   3 ,- ,   13 ,   2 
,,,>= 65,- ,   6 ,   5 ,   30 ,   2 ,   1 ,   2 ,   16 ,   1 
,,Caldas da Rainha,,,,,,,,,,
,,,Total,- ,   38 ,   169 ,   383 ,   10 ,   50 ,   11 ,   100 ,   7 
,,,15 - 24,- ,- ,   2 ,   1 ,- ,- ,- ,- ,   1 
,,,25 - 34,- ,   3 ,   6 ,   7 ,   2 ,   3 ,   1 ,   3 ,   1 
,,,35 - 44,- ,   7 ,   26 ,   33 ,   2 ,   5 ,   2 ,   13 ,   2 
,,,45 - 54,- ,   5 ,   54 ,   57 ,   1 ,   13 ,   2 ,   13 ,- 
,,,55 - 64,- ,   13 ,   42 ,   130 ,   3 ,   19 ,   4 ,   34 ,   2 
,,,>= 65,- ,   10 ,   39 ,   155 ,   2 ,   10 ,   2 ,   37 ,   1 
,,Lourinhã,,,,,,,,,,
,,,Total,- ,   28 ,   27 ,   564 ,   6 ,   9 ,   13 ,   19 ,   1 
,,,15 - 24,- ,   3 ,- ,   6 ,- ,- ,- ,   1 ,- 
,,,25 - 34,- ,   1 ,   1 ,   28 ,   1 ,   2 ,   1 ,- ,- 
,,,35 - 44,- ,   8 ,   5 ,   80 ,   1 ,   3 ,   2 ,   2 ,- 
,,,45 - 54,- ,   2 ,   9 ,   121 ,   2 ,   1 ,   4 ,   6 ,- 
,,,55 - 64,- ,   11 ,   8 ,   172 ,- ,   1 ,   3 ,   3 ,- 
,,,>= 65,- ,   3 ,   4 ,   157 ,   2 ,   2 ,   3 ,   7 ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
