Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.5/12
REGIÃO AGRÁRIA,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Odivelas,,,,,,,,,,,
,,,Total,   66 ,   1 ,   1 ,   19 ,- ,   1 ,- ,   1 ,- ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,   5 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,,35 - 44,   3 ,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,45 - 54,   7 ,   1 ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,,55 - 64,   21 ,- ,- ,   5 ,- ,- ,- ,   1 ,- ,- 
,,,>= 65,   30 ,- ,- ,   12 ,- ,   1 ,- ,- ,- ,- 
,,Oeiras,,,,,,,,,,,
,,,Total,   30 ,   1 ,   2 ,   2 ,- ,   1 ,   1 ,- ,   1 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,45 - 54,   2 ,- ,- ,- ,- ,- ,- ,- ,   1 ,- 
,,,55 - 64,   12 ,- ,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,,>= 65,   14 ,   1 ,   1 ,   1 ,- ,   1 ,   1 ,- ,- ,- 
,,Sintra,,,,,,,,,,,
,,,Total,  1 616 ,   61 ,   171 ,   538 ,   34 ,   75 ,   5 ,   23 ,   18 ,   28 
,,,15 - 24,   7 ,- ,- ,   1 ,- ,- ,- ,- ,- ,   3 
,,,25 - 34,   66 ,   1 ,   6 ,   29 ,- ,   2 ,- ,- ,   1 ,   2 
,,,35 - 44,   141 ,   5 ,   16 ,   60 ,   3 ,   5 ,   1 ,   2 ,   5 ,   2 
,,,45 - 54,   267 ,   13 ,   36 ,   81 ,   5 ,   17 ,- ,   3 ,   2 ,   4 
,,,55 - 64,   455 ,   10 ,   43 ,   154 ,   8 ,   22 ,   1 ,   6 ,   6 ,   7 
,,,>= 65,   680 ,   32 ,   70 ,   213 ,   18 ,   29 ,   3 ,   12 ,   4 ,   10 
,,Vila Franca de Xira,,,,,,,,,,,
,,,Total,   748 ,   33 ,   71 ,   56 ,   177 ,   126 ,   7 ,   77 ,   2 ,   7 
,,,15 - 24,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 
,,,25 - 34,   26 ,   2 ,   9 ,- ,   2 ,   3 ,- ,   4 ,   1 ,   1 
,,,35 - 44,   70 ,   3 ,   16 ,   4 ,   11 ,   13 ,- ,   5 ,- ,   1 
