Explorações segundo a OTE e a dimensão económica (Lezíria do Tejo),,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.5/5
,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém
,,expl (nº),,,,,,,,,,,,
Classes de dimensão económica (UDE),,  60 960 ,  14 779 ,  1 334 ,   675 ,  1 590 ,   673 ,  1 029 ,   604 ,  1 445 ,   261 ,  1 974 ,   914 ,  4 280 
,> 0 a < 2,  21 193 ,  5 282 ,   296 ,   134 ,   640 ,   171 ,   430 ,   145 ,   474 ,   22 ,   840 ,   388 ,  1 742 
,2 a < 4,  13 201 ,  3 030 ,   266 ,   96 ,   409 ,   122 ,   237 ,   104 ,   241 ,   42 ,   386 ,   142 ,   985 
,4 a < 8,  10 395 ,  2 307 ,   274 ,   116 ,   291 ,   94 ,   134 ,   104 ,   205 ,   39 ,   277 ,   90 ,   683 
,8 a < 16,  6 971 ,  1 549 ,   210 ,   135 ,   103 ,   63 ,   65 ,   85 ,   149 ,   54 ,   214 ,   85 ,   386 
,16 a < 40,  5 521 ,  1 326 ,   170 ,   115 ,   63 ,   84 ,   63 ,   76 ,   148 ,   54 ,   157 ,   98 ,   298 
,40 a < 100,  2 412 ,   764 ,   87 ,   45 ,   42 ,   73 ,   47 ,   67 ,   128 ,   26 ,   63 ,   72 ,   114 
,> = 100,  1 267 ,   521 ,   31 ,   34 ,   42 ,   66 ,   53 ,   23 ,   100 ,   24 ,   37 ,   39 ,   72 
OTE,,  61 615 ,  15 153 ,  1 341 ,   676 ,  1 613 ,   682 ,  1 065 ,   609 ,  1 462 ,   261 ,  2 152 ,   920 ,  4 372 
,Cereais e plantas olea./proteaginosas,  1 461 ,   795 ,   14 ,   15 ,   30 ,   92 ,   19 ,   86 ,   90 ,   157 ,   29 ,   54 ,   209 
,Culturas agrícolas diversas,  5 146 ,  1 826 ,   121 ,   176 ,   74 ,   156 ,   97 ,   133 ,   262 ,   68 ,   184 ,   265 ,   290 
,Horticultura,  4 735 ,   259 ,   46 ,   8 ,   12 ,   80 ,   13 ,   5 ,   19 ,   1 ,   11 ,   55 ,   9 
,Viticultura,  10 941 ,  3 702 ,   708 ,   304 ,   946 ,   53 ,   555 ,   35 ,   131 ,   4 ,   363 ,   196 ,   407 
,Fruticultura,  6 804 ,   868 ,   126 ,   30 ,   89 ,   70 ,   58 ,   120 ,   187 ,   2 ,   35 ,   52 ,   99 
,Olivicultura,  6 219 ,  1 825 ,   1 ,   1 ,   19 ,   4 ,   28 ,   29 ,   22 ,   4 ,   264 ,   4 ,  1 449 
,Culturas permanentes diversas,  7 853 ,  1 565 ,   155 ,   62 ,   151 ,   29 ,   85 ,   32 ,   204 ,   1 ,   227 ,   57 ,   562 
,Bovinos de leite,   402 ,   82 ,   1 ,- ,   9 ,   5 ,   5 ,   2 ,   21 ,- ,   4 ,   4 ,   31 
,Bovinos para gado/carne,   697 ,   183 ,   2 ,   4 ,   34 ,   24 ,   18 ,   8 ,   39 ,   1 ,   23 ,   8 ,   22 
,Bovinos para leite/gado/carne,   46 ,   3 ,- ,- ,- ,- ,- ,- ,   1 ,- ,- ,   1 ,   1 
,Ovinos/caprinos/outros herbívoros,  2 292 ,   551 ,   11 ,   5 ,   50 ,   35 ,   25 ,   18 ,   144 ,- ,   84 ,   35 ,   144 
,Granívoros,  1 993 ,   627 ,   9 ,   3 ,   24 ,   17 ,   31 ,   9 ,   32 ,   1 ,   319 ,   9 ,   173 
,Policultura,  8 707 ,  1 563 ,   129 ,   56 ,   99 ,   58 ,   67 ,   92 ,   139 ,   18 ,   204 ,   132 ,   569 
,Polipecuária-herbívoros,   488 ,   99 ,- ,   1 ,   7 ,   8 ,   4 ,   5 ,   25 ,   1 ,   12 ,   9 ,   27 
,Polipecuária-granívoros,   579 ,   131 ,   2 ,   1 ,   2 ,   8 ,   1 ,   1 ,   19 ,- ,   45 ,   3 ,   49 
,Agricultura geral e herbívoros,   423 ,   136 ,   1 ,   2 ,   3 ,   17 ,   2 ,   18 ,   45 ,   1 ,   11 ,   6 ,   30 
,Culturas diversas e gado,  2 174 ,   564 ,   8 ,   7 ,   41 ,   17 ,   21 ,   11 ,   65 ,   2 ,   159 ,   24 ,   209 
,Não classificadas,   655 ,   374 ,   7 ,   1 ,   23 ,   9 ,   36 ,   5 ,   17 ,- ,   178 ,   6 ,   92 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",

,
,













,













,
