Origem do rendimento do agregado doméstico do produtor singular (Lezíria do Tejo),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,Pág.5/5
,,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém
,,,expl. (nº),,,,,,,,,,,,
Total explorações com produtor singular,,,  59 944 ,  14 556 ,  1 316 ,   641 ,  1 552 ,   615 ,   992 ,   577 ,  1 361 ,   239 ,  2 120 ,   861 ,  4 282 
Exclusivamente da actividade da exploração,,,  5 433 ,  1 417 ,   195 ,   90 ,   91 ,   111 ,   61 ,   78 ,   126 ,   58 ,   262 ,   85 ,   260 
Principalmente da actividade da exploração,,,  12 087 ,  3 398 ,   402 ,   222 ,   341 ,   102 ,   142 ,   307 ,   463 ,   95 ,   514 ,   167 ,   643 
,Salários do sector primário,,  1 641 ,   567 ,   78 ,   51 ,   44 ,   35 ,   35 ,   46 ,   106 ,   19 ,   51 ,   31 ,   71 
,,1ª opção,  1 392 ,   494 ,   66 ,   47 ,   40 ,   28 ,   30 ,   45 ,   95 ,   10 ,   48 ,   22 ,   63 
,,2ª opção,   233 ,   67 ,   11 ,   4 ,   4 ,   7 ,   4 ,   1 ,   10 ,   8 ,   3 ,   7 ,   8 
,,3ª opção,   16 ,   6 ,   1 ,- ,- ,- ,   1 ,- ,   1 ,   1 ,- ,   2 ,- 
,Salários do sector secúndário,,  2 015 ,   495 ,   55 ,   21 ,   50 ,   16 ,   24 ,   26 ,   71 ,   7 ,   111 ,   30 ,   84 
,,1ª opção,  1 574 ,   406 ,   43 ,   18 ,   46 ,   10 ,   19 ,   23 ,   54 ,   5 ,   92 ,   24 ,   72 
,,2ª opção,   413 ,   83 ,   11 ,   3 ,   4 ,   5 ,   5 ,   2 ,   16 ,   2 ,   18 ,   5 ,   12 
,,3ª opção,   28 ,   6 ,   1 ,- ,- ,   1 ,- ,   1 ,   1 ,- ,   1 ,   1 ,- 
,Salários do sector terciário,,  2 881 ,   927 ,   75 ,   49 ,   83 ,   41 ,   48 ,   83 ,   105 ,   32 ,   137 ,   46 ,   228 
,,1ª opção,  2 231 ,   727 ,   51 ,   42 ,   73 ,   25 ,   41 ,   69 ,   72 ,   26 ,   108 ,   34 ,   186 
,,2ª opção,   605 ,   189 ,   23 ,   7 ,   8 ,   14 ,   7 ,   14 ,   29 ,   6 ,   28 ,   12 ,   41 
,,3ª opção,   45 ,   11 ,   1 ,- ,   2 ,   2 ,- ,- ,   4 ,- ,   1 ,- ,   1 
,Actividade empresarial,,   712 ,   143 ,   44 ,   5 ,   8 ,   15 ,   4 ,   2 ,   21 ,- ,   8 ,   19 ,   17 
,,1ª opção,   633 ,   120 ,   40 ,   3 ,   7 ,   12 ,   4 ,   1 ,   15 ,- ,   8 ,   16 ,   14 
,,2ª opção,   72 ,   20 ,   3 ,   2 ,   1 ,   2 ,- ,   1 ,   5 ,- ,- ,   3 ,   3 
,,3ª opção,   7 ,   3 ,   1 ,- ,- ,   1 ,- ,- ,   1 ,- ,- ,- ,- 
,Pensões rurais/reformas,,  6 910 ,  1 911 ,   234 ,   135 ,   226 ,   27 ,   63 ,   192 ,   278 ,   57 ,   285 ,   77 ,   337 
,,1ª opção,  5 928 ,  1 585 ,   196 ,   109 ,   169 ,   23 ,   48 ,   165 ,   214 ,   51 ,   250 ,   64 ,   296 
,,2ª opção,   901 ,   303 ,   34 ,   25 ,   52 ,   4 ,   15 ,   26 ,   60 ,   6 ,   33 ,   13 ,   35 
,,3ª opção,   81 ,   23 ,   4 ,   1 ,   5 ,- ,- ,   1 ,   4 ,- ,   2 ,- ,   6 
,Juros e dividendos,,   193 ,   49 ,   11 ,   2 ,   3 ,- ,- ,   21 ,   1 ,   1 ,   1 ,   5 ,   4 
