"População e mão-de-obra agrícola não familiar (UTA) (Oeste, Grande Lisboa e Península de Setúbal)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,Pág.1/2
REGIÃO AGRÁRIA,,,,Mão-de-obra não familiar,,,,,
,Nut III,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor
,,Concelho,,,Total,Dirigente,Outros trabalhadores,,
LISBOA E VALE DO TEJO,,,Ind. (nº),- ,  13 421 ,  1 752 ,  11 669 ,- ,- 
,,,UTA,  21 213 ,  11 320 ,  1 161 ,  10 184 ,  9 482 ,   411 
,Oeste,,Ind. (nº),- ,  4 179 ,   560 ,  3 619 ,- ,- 
,,,UTA,  6 976 ,  3 301 ,   397 ,  2 911 ,  3 553 ,   122 
,,Alcobaça,Ind. (nº),- ,   401 ,   53 ,   348 ,- ,- 
,,,UTA,   681 ,   319 ,   40 ,   279 ,   350 ,   12 
,,Alenquer,Ind. (nº),- ,   347 ,   84 ,   263 ,- ,- 
,,,UTA,   799 ,   285 ,   45 ,   240 ,   497 ,   17 
,,Arruda dos Vinhos,Ind. (nº),- ,   76 ,   16 ,   60 ,- ,- 
,,,UTA,   141 ,   60 ,   12 ,   48 ,   75 ,   6 
,,Bombarral,Ind. (nº),- ,   325 ,   33 ,   292 ,- ,- 
,,,UTA,   515 ,   224 ,   24 ,   202 ,   286 ,   5 
,,Cadaval,Ind. (nº),- ,   281 ,   49 ,   232 ,- ,- 
,,,UTA,   495 ,   191 ,   22 ,   169 ,   299 ,   5 
,,Caldas da Rainha,Ind. (nº),- ,   328 ,   29 ,   299 ,- ,- 
,,,UTA,   628 ,   243 ,   23 ,   220 ,   378 ,   7 
,,Lourinhã,Ind. (nº),- ,   580 ,   60 ,   520 ,- ,- 
,,,UTA,   756 ,   460 ,   47 ,   414 ,   278 ,   18 
,,Mafra,Ind. (nº),- ,   275 ,   50 ,   225 ,- ,- 
,,,UTA,   438 ,   240 ,   40 ,   203 ,   186 ,   12 
,,Nazaré,Ind. (nº),- ,   52 ,   7 ,   45 ,- ,- 
,,,UTA,   107 ,   44 ,   5 ,   39 ,   62 ,   1 
,,Óbidos,Ind. (nº),- ,   149 ,   16 ,   133 ,- ,- 
,,,UTA,   328 ,   128 ,   14 ,   113 ,   196 ,   4 
,,Peniche,Ind. (nº),- ,   171 ,   25 ,   146 ,- ,- 
,,,UTA,   270 ,   143 ,   21 ,   123 ,   121 ,   6 
,,Sobral de Monte Agraço,Ind. (nº),- ,   87 ,   17 ,   70 ,- ,- 
,,,UTA,   143 ,   71 ,   13 ,   58 ,   68 ,   4 
,,Torres Vedras,Ind. (nº),- ,  1 107 ,   121 ,   986 ,- ,- 
,,,UTA,  1 675 ,   893 ,   91 ,   803 ,   757 ,   25 
,Grande Lisboa,,Ind. (nº),- ,   896 ,   138 ,   758 ,- ,- 
,,,UTA,  1 104 ,   767 ,   94 ,   678 ,   328 ,   9 
,,Amadora,Ind. (nº),- ,   6 ,   2 ,   4 ,- ,- 
,,,UTA,   6 ,   6 ,   2 ,   4 ,o ,o 
,,Cascais,Ind. (nº),- ,   54 ,   11 ,   43 ,- ,- 
,,,UTA,   41 ,   39 ,   6 ,   32 ,   2 ,o 
,,Loures,Ind. (nº),- ,   167 ,   27 ,   140 ,- ,- 
,,,UTA,   225 ,   141 ,   16 ,   127 ,   82 ,   2 
,,Odivelas,Ind. (nº),- ,   22 ,   5 ,   17 ,- ,- 
,,,UTA,   26 ,   18 ,   3 ,   16 ,   8 ,o 
,,Oeiras,Ind. (nº),- ,   23 ,   4 ,   19 ,- ,- 
,,,UTA,   23 ,   22 ,   3 ,   19 ,   1 ,o 
,,Sintra,Ind. (nº),- ,   442 ,   48 ,   394 ,- ,- 
,,,UTA,   479 ,   384 ,   36 ,   350 ,   94 ,   1 
,,Vila Franca de Xira,Ind. (nº),- ,   182 ,   41 ,   141 ,- ,- 
,,,UTA,   304 ,   157 ,   28 ,   130 ,   141 ,   6 
,Península de Setúbal,,Ind. (nº),- ,  2 212 ,   264 ,  1 948 ,- ,- 
,,,UTA,  3 136 ,  1 914 ,   152 ,  1 763 ,  1 180 ,   42 
,,Alcochete,Ind. (nº),- ,   274 ,   19 ,   255 ,- ,- 
,,,UTA,   309 ,   267 ,   13 ,   254 ,   41 ,   1 
,,Almada,Ind. (nº),- ,   16 ,   4 ,   12 ,- ,- 
,,,UTA,   19 ,   13 ,   3 ,   10 ,   6 ,o 
,,Barreiro,Ind. (nº),- ,   4 ,   2 ,   2 ,- ,- 
,,,UTA,   5 ,   3 ,   2 ,   1 ,   2 ,o 
,,Moita,Ind. (nº),- ,   97 ,   7 ,   90 ,- ,- 
,,,UTA,   106 ,   92 ,   5 ,   87 ,   11 ,   3 
,,Montijo,Ind. (nº),- ,   586 ,   98 ,   488 ,- ,- 
,,,UTA,   882 ,   513 ,   48 ,   465 ,   359 ,   10 
,,Palmela,Ind. (nº),- ,   862 ,   90 ,   772 ,- ,- 
,,,UTA,  1 466 ,   764 ,   52 ,   712 ,   677 ,   25 
,,Seixal,Ind. (nº),- ,   28 ,   6 ,   22 ,- ,- 
,,,UTA,   21 ,   20 ,   4 ,   17 ,   1 ,o 
,,Sesimbra,Ind. (nº),- ,   47 ,   11 ,   36 ,- ,- 
,,,UTA,   49 ,   43 ,   8 ,   35 ,   5 ,   1 
,,Setúbal,Ind. (nº),- ,   298 ,   27 ,   271 ,- ,- 
,,,UTA,   279 ,   199 ,   17 ,   182 ,   78 ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,
