"Principais Culturas Temporárias (Beira Interior Norte, página 1)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 3/6
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Beira Interior Norte,,,,,,,,,,,,
,,Culturas temporárias,"13,428","49,149","13,178","42,864","5,890","6,291","5,299","5,585","1,278",716
,,Cereais para grão,"8,469","16,851","8,262","16,177",849,670,518,499,368,163
,,Leguminosas secas para grão,"3,288",448,"3,067",399,304,40,81,25,223,14
,,Prados temporários,226,551,222,527,12,21,- ,- ,12,21
,,Culturas forrageiras,"9,618","27,811","8,516","22,440","5,278","5,372","5,054","4,959",638,412
,,Batata,"9,971","3,342","9,526","3,176",764,168,172,82,598,83
,,Beterraba sacarina,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,3,o ,2,... ,1,... ,- ,- ,1,... 
,,Culturas hortícolas,568,101,530,89,48,10,26,7,23,3
,,Flores e plantas ornamentais,9,o ,9,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,3,4,3,4,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,58,31,56,31,2,... ,- ,- ,2,... 
,,Outras culturas temporárias,21,12,17,11,4,1,2,... ,2,... 
,Almeida,,,,,,,,,,,
,,Culturas temporárias,"1,026","5,465","1,024","5,332",104,134,101,123,5,11
,,Cereais para grão,320,819,315,814,10,4,10,4,- ,- 
,,Leguminosas secas para grão,167,32,167,31,1,... ,1,... ,- ,- 
,,Prados temporários,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,840,"4,421",831,"4,292",92,129,89,117,5,11
,,Batata,667,190,666,189,2,... ,2,... ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,11,o ,11,o ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Celorico da Beira,,,,,,,,,,,
,,Culturas temporárias,961,"6,825",864,"4,751",706,"2,073",533,"1,802",347,275
,,Cereais para grão,681,"1,941",609,"1,676",203,266,108,205,105,60
,,Leguminosas secas para grão,529,92,416,68,139,23,45,13,94,9
,,Prados temporários,49,123,49,119,3,3,- ,- ,3,3
,,Culturas forrageiras,634,"4,328",516,"2,645",533,"1,681",490,"1,515",158,166
,,Batata,887,320,652,227,300,93,119,63,186,28
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,- ,- ,1,... ,- ,- ,1,... 
,,Culturas hortícolas,84,21,69,15,21,5,12,2,10,3
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,13,1,11,1,2,... ,- ,- ,2,... 
,,Outras culturas temporárias,3,o ,2,... ,1,... ,1,... ,- ,- 
,Figueira de Castelo Rodrigo,,,,,,,,,,,
,,Culturas temporárias,875,"6,935",866,"6,581",128,355,95,292,36,60
,,Cereais para grão,469,"2,414",469,"2,402",11,11,7,6,4,5
,,Leguminosas secas para grão,28,17,28,17,- ,- ,- ,- ,- ,- 
,,Prados temporários,29,167,28,151,5,15,- ,- ,5,15
,,Culturas forrageiras,505,"4,223",480,"3,897",102,325,90,286,15,37
,,Batata,327,111,315,109,13,1,- ,- ,13,1
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,Guarda,,,,,,,,,,,
,,Culturas temporárias,"2,764","8,826","2,704","7,728","1,259","1,093","1,157","1,028",182,71
,,Cereais para grão,"1,878","3,600","1,841","3,494",166,104,137,87,37,17
,,Leguminosas secas para grão,697,93,677,90,25,o ,5,o ,20,o 
,,Prados temporários,56,134,55,131,2,... ,- ,- ,2,... 
,,Culturas forrageiras,"2,004","4,120","1,806","3,163","1,131",957,"1,101",927,70,32
,,Batata,"2,281",812,"2,201",789,133,25,17,6,116,17
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,72,41,60,36,14,5,13,5,1,... 
,,Flores e plantas ornamentais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,8,27,8,27,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
