Explorações com rega e drenagem (Beira Interior Norte),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/5
,,,,Beira Interior Norte,Almeida,Celorico da Beira,Figueira de Castelo Rodrigo,Guarda,Manteigas,Meda,Pinhel,Sabugal,Trancoso
Superfície irrigável,,,expl (nº),"13,940",851,"1,105",936,"3,140",188,"1,010",2404,2384,1922
,,,área (ha),"30,450","1,169","5,331","1,928","9,410",392,"1,477",3124,3430,4189
Sistema de rega ,,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),780,35,79,40,261,- ,58,32,58,217
,Colectivo privado,,expl (nº),"1,280",34,119,12,633,184,23,33,200,42
,Individual,,expl (nº),"13,026",827,"1,032",896,"2,789",14,950,2373,2277,1868
Origem das águas de rega,,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"12,845",819,960,802,"2,898",23,986,2313,2207,1837
,Albufeira (barragem),,expl (nº),176,3,56,6,72,- ,3,5,20,11
,Açude,,expl (nº),258,5,21,4,127,21,4,33,25,18
,Charca,,expl (nº),626,52,29,81,232,- ,34,32,133,33
,Curso de água natural,,expl (nº),"3,039",96,393,71,871,175,69,356,633,375
,Outra,,expl (nº),353,5,40,38,59,17,5,19,94,76
Método de colocação de água no terreno,,,,,,,,,,,,,
,Sem elevação,,expl (nº),"3,534",39,571,40,"1,171",186,346,78,786,317
,Com elevação,,expl (nº),"12,364",828,808,907,"2,575",12,884,2362,2180,1808
,,Motor electrico,expl (nº),"1,825",73,104,102,729,3,62,222,331,199
,,Motor a carburante,expl (nº),"11,203",787,735,677,"2,231",8,841,2254,2015,1655
,,Outros meios,expl (nº),387,52,27,157,33,1,11,35,56,15
Superfície drenada,,,expl (nº),89,2,3,11,9,- ,1,31,2,30
,,,área (ha),113,... ,8,10,31,- ,... ,43,... ,14
Superfície com encharcamento,,,expl (nº),185,2,6,6,25,- ,1,16,16,113
,,,área (ha),230,... ,12,80,33,- ,... ,9,8,79
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,
