Explorações com rega e drenagem (Beira Interior Sul),,,,,,,,,
,,,,,,,,1999,
,,,,,,,,pág. 4/5,
,,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão,
Superfície irrigável,,,expl (nº),"5,447","2,789","1,392",847,419,
,,,área (ha),"25,546","8,740","14,010","1,497","1,299",
Sistema de rega ,,,,,,,,,
,Colectivo estatal,,expl (nº),838,111,447,245,35,
,Colectivo privado,,expl (nº),308,175,57,65,11,
,Individual,,expl (nº),"4,519","2,630",964,551,374,
Origem das águas de rega,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"4,177","2,449",882,526,320,
,Albufeira (barragem),,expl (nº),"1,026",185,454,304,83,
,Açude,,expl (nº),57,20,5,29,3,
,Charca,,expl (nº),841,529,153,81,78,
,Curso de água natural,,expl (nº),564,407,91,25,41,
,Outra,,expl (nº),52,25,14,7,6,
Método de colocação de água no terreno,,,,,,,,,
,Sem elevação,,expl (nº),"1,243",493,492,194,64,
,Com elevação,,expl (nº),"4,709","2,620","1,039",676,374,
,,Motor electrico,expl (nº),"1,470",875,305,116,174,
,,Motor a carburante,expl (nº),"3,499","2,020",804,406,269,
,,Outros meios,expl (nº),379,115,31,224,9,
Superfície drenada,,,expl (nº),417,21,387,5,4,
,,,área (ha),"2,718",14,"2,687",5,12,
Superfície com encharcamento,,,expl (nº),146,30,94,11,11,
,,,área (ha),726,37,654,8,27,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
