Efectivo animal (Cova da Beira),,,,,,,,,,,,
,,,,,,,,,,1999,,
,,,,,,,,,,pág. 7/7,,
,,,Cova da Beira,,Belmonte,,Covilhã,,Fundão,,,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),,
BOVINOS,,,"1,194","9,242",129,996,451,"4,090",614,"4,156",,
Bovinos com menos de 1 ano,,,732,"2,651",63,209,313,"1,227",356,"1,215",,
,Vitelos de carne (para abate < 1 ano),,275,811,26,60,141,384,108,367,,
,Outros vitelos,,520,"1,840",41,149,215,843,264,848,,
,,Machos,305,822,19,69,130,342,156,411,,
,,Fêmeas,353,"1,018",28,80,147,501,178,437,,
Bovinos de 1 a menos de 2 anos,,,389,"1,602",36,127,182,786,171,689,,
,Machos,,208,540,14,44,107,316,87,180,,
,Fêmeas reprodutoras,,251,"1,016",22,81,117,462,112,473,,
,Fêmeas não reprodutoras,,24,46,2,... ,5,8,17,36,,
Bovinos de 2 anos e mais,,,813,"4,989",95,660,274,"2,077",444,"2,252",,
,Machos,,72,115,8,12,32,49,32,54
,Novilhas reprodutoras,,143,"1,041",7,124,64,509,72,408
,Novilhas não reprodutoras,,9,24,1,... ,2,... ,6,10
,Vacas leiteiras,,602,"3,554",89,490,205,"1,447",308,"1,617"
,Outras vacas,,112,255,4,32,22,60,86,163
SUÍNOS,,,"1,839","13,732",282,731,751,"6,963",806,"6,038"
,Suínos com menos de 20 kg de PV,,348,"3,922",72,238,137,"1,954",139,"1,730"
,Fêmeas reprodutoras de 50 kg de PV e mais,,372,"1,917",58,110,226,"1,032",88,775
,Outros suínos,,"1,493","7,893",218,383,586,"3,977",689,"3,533"
OVINOS,,,"1,358","64,402",154,"10,464",356,"15,475",848,"38,463"
,Fêmeas reprodutoras,,"1,199","58,931",137,"9,687",311,"14,210",751,"35,034"
,Outros ovinos,,885,"5,471",114,777,247,"1,265",524,"3,429"
CAPRINOS,,,"1,964","15,323",171,"1,153",534,"5,016","1,259","9,154"
,Fêmeas reprodutoras,,"1,950","13,511",170,"1,028",529,"4,376","1,251","8,107"
,Outros caprinos,,679,"1,812",44,125,195,640,440,"1,047"
EQUÍDEOS,,,"1,044","1,330",189,218,264,402,591,710
,Gado equino,,215,428,21,44,83,181,111,203
,,Fêmeas reprodutoras,72,128,3,6,18,47,51,75
,,Outros equinos,182,300,20,38,74,134,88,128
,Gado asinino,,716,739,154,159,154,160,408,420
,Gado muar,,128,163,15,15,30,61,83,87
COELHAS reprodutoras,,,"2,115","5,761",227,619,841,"2,490","1,047","2,652"
AVES,,,,,,,,,,
,Frangos de carne (inclui galos),,"1,962","17,131",181,"1,556",667,"6,777","1,114","8,798"
,Galinhas poedeiras e reprodutoras,,"5,938","47,362",679,"4,578","1,996","16,802","3,263","25,982"
,Perús,,425,"1,483",46,114,144,659,235,710
,"Patos, Gansos e pintadas",,"1,577","11,451",166,"1,276",505,"3,575",906,"6,600"
ABELHAS,,,,,,,,,,
,Número de colmeias povoadas,,288,"3,056",18,356,125,"1,398",145,"1,302"
,Número de cortiços povoadas,,171,"1,302",8,28,47,288,116,986
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
