Principais características do Produtor Singular - Mulher (Cova da Beira),,,,,,
,,,,,,1999
,,,,,,pág. 15/15
,,,Cova da Beira,Belmonte,Covilhã,Fundão
,,,nº de indivíduos,,,
Mulher,,,,,,
Produtor singular,,,"1,620",178,440,"1,002"
,Autónomo,,"1,592",176,433,983
,Empresário,,28,2,7,19
Nível de instrução,,,,,,
,Não sabe ler nem escrever,,553,52,139,362
,Sabe ler e escrever,,319,34,84,201
,Básico - 1º ciclo,,548,74,162,312
,Básico - 2º ciclo,,95,4,29,62
,Básico - 3º ciclo,,45,4,12,29
,Secundário agrícola,,- ,- ,- ,- 
,Secundário não agrícola,,27,6,7,14
,Politécnico / Superior agrícola,,4,- ,1,3
,Politécnico / Superior não agrícola,,29,4,6,19
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"1,565",172,431,962
,Curta duração,,28,1,4,23
,Longa duração,,15,2,3,10
,Longa e curta duração,,8,3,1,4
,Completa,,4,- ,1,3
Tempo de actividade agrícola ,,,,,,
,Tempo parcial,,"1,495",157,422,916
,,> 0 - < 25%,440,44,139,257
,,25 - < 50%,444,66,136,242
,,50 - < 75%,302,25,88,189
,,75 - < 100%,309,22,59,228
,Tempo completo,,125,21,18,86
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,240,14,81,145
,,Sector primário,39,- ,15,24
,,Sector secundário,57,8,24,25
,,Sector terciário,144,6,42,96
,Secúndária,,13,- ,4,9
,,Sector primário,4,- ,4,- 
,,Sector secundário,1,- ,- ,1
,,Sector terciário,8,- ,- ,8
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,17,- ,8,9
,Trabalhador por conta própria,,40,2,15,23
,Trabalhador por conta de outrem,,185,11,59,115
,Trabalhador familiar remunerado,,- ,- ,- ,- 
,Outra situação,,11,1,3,7
Produtor singular dirigente,,,"1,568",173,429,966
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
