Actividade renumerada exterior à exploração da População Agrícola Familiar (Beira Interior Norte),,,,,,,,,,,,,
,,,,,,,,,,,,1999,
,,,,,,,,,,,,pág. 3/5,
,,,Beira Interior Norte,Almeida,Celorico da Beira,Figueira de Castelo Rodrigo,Guarda,Manteigas,Meda,Pinhel,Sabugal,Trancoso,
,,,nº de indivíduos,,,,,,,,,,
População agrícola familiar,,,"44,084","3,264","3,350","4,255","8,533",488,"4,456","7,972","6,284","5,482",
,Actividade exterior - principal,,"10,857",598,745,"1,070","2,830",124,"1,127","2,132","1,138","1,093",
,,"Agric, prod. animal, caça e activ. seviços relacionados",848,29,30,183,66,1,302,121,23,93,
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",105,2,1,3,39,1,1,15,21,22,
,,"Pesca, aquacultura e activ. seviços relacionados",15,- ,- ,3,3,- ,4,3,- ,2,
,,Ind. alimentares das bebidas e do tabaco,202,19,2,24,32,5,24,70,12,14,
,,Outras indústrias,"1,703",58,144,103,619,46,85,419,138,91,
,,"Prod. e distribuição de  electricidade, gás e água",100,14,3,2,19,- ,17,25,8,12,
,,Construção,"1,722",108,106,125,311,13,199,374,263,223,
,,Comércio por grosso e retalho,"1,216",88,95,111,293,17,102,256,132,122,
,,Alojamento e restauração,233,26,30,21,38,5,10,29,27,47,
,,Administração pública,846,49,64,125,166,13,117,178,84,50
,,Educação,630,32,54,92,150,9,78,90,50,75
,,Saúde e acção social,405,33,24,49,105,3,35,51,62,43
,,Outras,"2,832",140,192,229,989,11,153,501,318,299
,Actividade exterior - secundária,,363,1,20,40,46,- ,73,94,55,34
,,"Agric, prod. animal, caça e activ. seviços relacionados",193,- ,3,25,3,- ,61,72,11,18
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",7,- ,- ,- ,2,- ,- ,- ,5,- 
,,"Pesca, aquacultura e activ. seviços relacionados",1,- ,1,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,5,- ,- ,- ,1,- ,2,- ,1,1
,,Outras indústrias,10,- ,- ,2,5,- ,- ,3,- ,- 
,,"Prod. e distribuição de  electricidade, gás e água",1,- ,- ,- ,1,- ,- ,- ,- ,- 
,,Construção,43,1,9,2,8,- ,2,8,9,4
,,Comércio por grosso e retalho,36,- ,2,5,10,- ,6,5,6,2
,,Alojamento e restauração,1,- ,- ,- ,- ,- ,- ,- ,1,- 
,,Administração pública,4,- ,1,1,1,- ,- ,- ,1,- 
,,Educação,1,- ,- ,- ,- ,- ,- ,- ,1,- 
,,Saúde e acção social,4,- ,1,- ,2,- ,- ,- ,- ,1
,,Outras,57,- ,3,5,13,- ,2,6,20,8
Produtor Singular,,,"17,151","1,295","1,182","1,701","3,163",190,"1,851","3,133","2,607","2,029"
,Actividade exterior - principal,,"4,511",231,276,491,"1,080",51,575,954,388,465
,,"Agric, prod. animal, caça e activ. seviços relacionados",449,12,20,86,33,1,162,75,10,50
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",55,1,1,3,14,1,1,9,13,12
,,"Pesca, aquacultura e activ. seviços relacionados",9,- ,- ,2,1,- ,2,2,- ,2
,,Ind. alimentares das bebidas e do tabaco,85,7,- ,9,14,- ,13,32,6,4
,,Outras indústrias,556,22,38,53,172,18,44,145,35,29
,,"Prod. e distribuição de  electricidade, gás e água",33,4,- ,1,8,- ,8,8,3,1
,,Construção,859,48,58,68,125,8,117,224,96,115
,,Comércio por grosso e retalho,591,34,41,60,136,10,57,140,55,58
,,Alojamento e restauração,78,9,8,6,15,- ,5,7,10,18
,,Administração pública,382,20,24,64,79,8,60,73,30,24
,,Educação,128,9,12,26,27,2,16,20,5,11
,,Saúde e acção social,92,5,8,9,24,- ,13,12,15,6
,,Outras,"1,194",60,66,104,432,3,77,207,110,135
,Actividade exterior - secundária,,239,1,16,24,32,- ,44,61,34,27
,,"Agric, prod. animal, caça e activ. seviços relacionados",128,- ,2,13,2,- ,37,48,10,16
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",5,- ,- ,- ,2,- ,- ,- ,3,- 
,,"Pesca, aquacultura e activ. seviços relacionados",1,- ,1,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,3,- ,- ,- ,- ,- ,1,- ,1,1
,,Outras indústrias,7,- ,- ,2,4,- ,- ,1,- ,- 
,,"Prod. e distribuição de  electricidade, gás e água",1,- ,- ,- ,1,- ,- ,- ,- ,- 
,,Construção,31,1,8,2,4,- ,2,5,5,4
,,Comércio por grosso e retalho,20,- ,- ,4,7,- ,3,3,2,1
,,Alojamento e restauração,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Administração pública,4,- ,1,1,1,- ,- ,- ,1,- 
,,Educação,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Saúde e acção social,3,- ,1,- ,2,- ,- ,- ,- ,- 
,,Outras,36,- ,3,2,9,- ,1,4,12,5
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
