Explorações segundo a OTE e a dimensão económica (Serra da Estrela),,,,,
,,,,,1999
,,,,,pág. 2/5
,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
,,expl (nº),,,
Classes de dimensão económica (UDE),,"4,822",784,"1,563","2,475"
,> 0 a < 2,"3,532",483,"1,145","1,904"
,2 a < 4,598,146,186,266
,4 a < 8,379,98,93,188
,8 a < 16,222,47,95,80
,16 a < 40,79,10,37,32
,40 a < 100,12,- ,7,5
,> = 100,- ,- ,- ,- 
OTE,,"4,822",784,"1,563","2,475"
,Cereais e plantas olea./proteaginosas,59,22,6,31
,Culturas agrícolas diversas,386,130,26,230
,Horticultura,29,- ,21,8
,Viticultura,665,22,487,156
,Fruticultura,57,6,16,35
,Olivicultura,641,90,170,381
,Culturas permanentes diversas,665,61,311,293
,Bovinos de leite,8,6,1,1
,Bovinos para gado/carne,15,4,6,5
,Bovinos para leite/gado/carne,5,1,- ,4
,Ovinos/caprinos/outros herbívoros,540,123,149,268
,Granívoros,22,1,5,16
,Policultura,"1,111",179,249,683
,Polipecuária-herbívoros,210,44,32,134
,Polipecuária-granívoros,12,- ,6,6
,Agricultura geral e herbívoros,150,78,11,61
,Culturas diversas e gado,247,17,67,163
,Não classificadas,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
