Origem do rendimento do agregado doméstico do produtor singular (Serra da Estrela),,,,,,
,,,,,,1999
,,,,,,pág. 2/5
,,,Serra da Estrela,Fornos de Algodres,Gouveia,Seia
,,,expl. (nº),,,
Total explorações com produtor singular,,,"4,751",774,"1,530","2,447"
Exclusivamente da actividade da exploração,,,238,41,93,104
Principalmente da actividade da exploração,,,627,148,173,306
,Salários do sector primário,,101,24,29,48
,,1ª opção,86,23,26,37
,,2ª opção,14,1,3,10
,,3ª opção,1,- ,- ,1
,Salários do sector secúndário,,132,22,27,83
,,1ª opção,99,19,20,60
,,2ª opção,29,2,6,21
,,3ª opção,4,1,1,2
,Salários do sector terciário,,116,21,35,60
,,1ª opção,87,12,28,47
,,2ª opção,28,9,7,12
,,3ª opção,1,- ,- ,1
,Actividade empresarial,,5,2,1,2
,,1ª opção,4,2,1,1
,,2ª opção,1,- ,- ,1
,,3ª opção,- ,- ,- ,- 
,Pensões rurais/reformas,,341,80,101,160
,,1ª opção,290,71,87,132
,,2ª opção,47,9,12,26
,,3ª opção,4,- ,2,2
,Juros e dividendos,,57,22,5,30
,,1ª opção,30,15,3,12
,,2ª opção,21,6,1,14
,,3ª opção,6,1,1,4
,Remessas de emigrantes,,10,1,5,4
,,1ª opção,6,1,2,3
,,2ª opção,2,- ,2,- 
,,3ª opção,2,- ,1,1
,Outras,,42,7,12,23
,,1ª opção,25,5,6,14
,,2ª opção,14,2,6,6
,,3ª opção,3,- ,- ,3
Principalmente origem exterior à actividade da exploração,,,"3,886",585,"1,264","2,037"
,Salários do sector primário,,234,46,59,129
,,1ª opção,157,25,39,93
,,2ª opção,66,18,16,32
,,3ª opção,11,3,4,4
,Salários do sector secúndário,,953,130,249,574
,,1ª opção,734,90,185,459
,,2ª opção,201,37,60,104
,,3ª opção,18,3,4,11
,Salários do sector terciário,,"1,061",137,357,567
,,1ª opção,742,81,258,403
,,2ª opção,301,51,92,158
,,3ª opção,18,5,7,6
,Actividade empresarial,,73,38,13,22
,,1ª opção,63,33,13,17
,,2ª opção,8,5,- ,3
,,3ª opção,2,- ,- ,2
,Pensões rurais/reformas,,"2,529",398,847,"1,284"
,,1ª opção,"2,029",320,709,"1,000"
,,2ª opção,438,66,119,253
,,3ª opção,62,12,19,31
,Juros e dividendos,,278,118,54,106
,,1ª opção,32,19,4,9
,,2ª opção,210,88,46,76
,,3ª opção,36,11,4,21
,Remessas de emigrantes,,99,9,65,25
,,1ª opção,56,4,38,14
,,2ª opção,37,1,26,10
,,3ª opção,6,4,1,1
,Outras,,201,34,59,108
,,1ª opção,73,13,18,42
,,2ª opção,103,14,34,55
,,3ª opção,25,7,7,11
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
