Mão-de-obra agrícola não familiar (UTA),,,,,,,,,
,,,,,,,,,1999
Região Agrícola,,,,Mão-de-obra não familiar,,,,,
Nut III,,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor
Concelho,,,,,Total,Dirigente,Outros trabalhadores,,
BEIRA INTERIOR,,,índ. (nº),- ,"3,322",559,"2,763",- ,- 
,,,UTA,"6,679","2,485",286,"2,199","3,998",196
,Pinhal Interior Sul ,,índ. (nº),- ,424,25,399,- ,- 
,,,UTA,473,171,11,162,285,17
,,Mação,índ. (nº),- ,30,6,24,- ,- 
,,,UTA,34,13,2,11,19,2
,,Oleiros,índ. (nº),- ,20,5,15,- ,- 
,,,UTA,82,11,1,10,69,2
,,Proença-a-Nova,índ. (nº),- ,27,5,22,- ,- 
,,,UTA,93,14,2,13,71,8
,,Sertã,índ. (nº),- ,328,7,321,- ,- 
,,,UTA,251,125,5,121,121,5
,,Vila de Rei,índ. (nº),- ,19,2,17,- ,- 
,,,UTA,13,8,1,7,5,o 
,Serra da Estrela,,índ. (nº),- ,348,85,263,- ,- 
,,,UTA,761,244,39,206,503,14
,,Fornos de Algodres,índ. (nº),- ,39,14,25,- ,- 
,,,UTA,61,11,3,8,48,2
,,Gouveia,índ. (nº),- ,169,41,128,- ,- 
,,,UTA,370,125,21,104,242,3
,,Seia,índ. (nº),- ,140,30,110,- ,- 
,,,UTA,330,108,15,94,213,9
,Beira Interior Norte,,índ. (nº),- ,876,223,653,- ,- 
,,,UTA,"2,004",651,106,545,"1,263",90
,,Almeida,índ. (nº),- ,33,11,22,- ,- 
,,,UTA,46,24,5,19,21,1
,,Celorico da Beira,índ. (nº),- ,53,4,49,- ,- 
,,,UTA,149,40,1,38,99,10
,,Figueira de Castelo Rodrigo,índ. (nº),- ,266,85,181,- ,- 
,,,UTA,557,198,30,169,346,13
,,Guarda,índ. (nº),- ,199,51,148,- ,- 
,,,UTA,272,162,36,127,101,9
,,Manteigas,índ. (nº),- ,15,8,7,- ,- 
,,,UTA,17,10,3,7,7,o 
,,Meda,índ. (nº),- ,65,11,54,- ,- 
,,,UTA,268,49,5,44,205,14
,,Pinhel,índ. (nº),- ,130,30,100,- ,- 
,,,UTA,389,81,10,70,287,21
,,Sabugal,índ. (nº),- ,65,8,57,- ,- 
,,,UTA,128,53,7,46,64,11
,,Trancoso,índ. (nº),- ,50,15,35,- ,- 
,,,UTA,178,34,9,25,133,11
,Beira Interior Sul,,índ. (nº),- ,"1,062",115,947,- ,- 
,,,UTA,"2,087",909,59,846,"1,138",40
,,Castelo Branco,índ. (nº),- ,431,43,388,- ,- 
,,,UTA,713,354,23,331,341,18
,,Idanha-a-Nova,índ. (nº),- ,483,38,445,- ,- 
,,,UTA,"1,126",438,19,418,676,12
,,Penamacor,índ. (nº),- ,87,19,68,- ,- 
,,,UTA,137,68,12,54,63,6
,,Vila Velha de Ródão,índ. (nº),- ,61,15,46,- ,- 
,,,UTA,111,49,5,43,58,4
,Cova da Beira,,índ. (nº),- ,612,111,501,- ,- 
,,,UTA,"1,354",510,71,440,809,35
,,Belmonte,índ. (nº),- ,65,6,59,- ,- 
,,,UTA,131,59,4,55,68,4
,,Covilhã,índ. (nº),- ,234,50,184,- ,- 
,,,UTA,416,196,31,165,210,10
,,Fundão,índ. (nº),- ,313,55,258,- ,- 
,,,UTA,807,255,36,220,531,21
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
